,1,2,3,4,5,6,7,8,9,10,11,12
A,0.151,0.045,0.302,0.040,0.283,0.043,0.218,0.040,0.252,0.042,0.248,0.039
B,0.044,0.279,0.040,0.254,0.046,0.284,0.038,0.288,0.039,0.324,0.038,0.310
C,0.038,0.050,0.177,0.041,0.285,0.041,0.222,0.040,0.286,0.042,0.257,0.041
D,0.041,0.292,0.039,0.288,0.273,0.302,0.041,0.293,0.042,0.326,0.039,0.321
E,0.266,0.044,0.284,0.040,0.275,0.043,0.263,0.040,0.277,0.043,0.283,0.042
F,0.040,0.248,0.042,0.266,0.043,0.279,0.042,0.257,0.041,0.187,0.040,0.272
G,0.246,0.040,0.273,0.040,0.275,0.041,0.260,0.279,0.275,0.041,0.275,0.042
H,0.039,0.252,0.040,0.268,0.040,0.314,0.042,0.246,0.042,0.209,0.042,0.274



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



