,1,2,3,4,5,6,7,8,9,10,11,12
A,0.312,0.317,0.297,0.304,0.313,0.309,0.313,0.307,0.322,0.280,0.330,0.286
B,0.328,0.340,0.312,0.311,0.336,0.312,0.326,0.260,0.354,0.314,0.345,0.307
C,0.353,0.352,0.321,0.361,0.366,0.348,0.351,0.320,0.360,0.315,0.342,0.308
D,0.338,0.340,0.317,0.273,0.352,0.354,0.320,0.308,0.344,0.317,0.340,0.346
E,0.328,0.308,0.291,0.294,0.352,0.287,0.329,0.346,0.346,0.303,0.348,0.300
F,0.322,0.329,0.300,0.281,0.343,0.285,0.297,0.292,0.318,0.319,0.337,0.312
G,0.348,0.295,0.339,0.339,0.346,0.331,0.356,0.341,0.351,0.350,0.338,0.306
H,0.339,0.346,0.355,0.356,0.353,0.347,0.352,0.346,0.350,0.348,0.349,0.351



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



