,1,2,3,4,5,6,7,8,9,10,11,12
A,0.261,0.043,0.304,0.040,0.293,0.041,0.227,0.039,0.343,0.041,0.275,0.038
B,0.045,0.287,0.040,0.220,0.048,0.325,0.029,0.306,0.037,0.348,0.037,0.312
C,0.396,0.054,0.268,0.043,0.300,0.038,0.228,0.037,0.327,0.040,0.300,0.042
D,0.041,0.348,0.039,0.291,0.258,0.314,0.042,0.296,0.042,0.335,0.037,0.333
E,0.283,0.044,0.292,0.039,0.306,0.041,0.273,0.040,0.289,0.044,0.292,0.043
F,0.039,0.267,0.040,0.279,0.042,0.327,0.041,0.268,0.041,0.259,0.039,0.277
G,0.278,0.039,0.280,0.041,0.338,0.040,0.270,0.261,0.286,0.040,0.286,0.037
H,0.041,0.253,0.039,0.288,0.038,0.321,0.042,0.267,0.041,0.219,0.041,0.287



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



