,1,2,3,4,5,6,7,8,9,10,11,12
A,0.041,0.040,0.175,0.040,0.264,0.040,0.212,0.041,0.250,0.042,0.247,0.039
B,0.044,0.269,0.042,0.241,0.045,0.299,0.044,0.294,0.040,0.317,0.041,0.310
C,0.040,0.048,0.179,0.044,0.269,0.040,0.214,0.041,0.242,0.043,0.243,0.042
D,0.042,0.281,0.045,0.273,0.041,0.294,0.041,0.286,0.041,0.315,0.040,0.308
E,0.257,0.043,0.282,0.041,0.255,0.043,0.208,0.040,0.255,0.042,0.277,0.042
F,0.041,0.237,0.043,0.268,0.043,0.300,0.044,0.301,0.042,0.208,0.042,0.257
G,0.236,0.042,0.278,0.040,0.259,0.040,0.210,0.252,0.251,0.043,0.252,0.041
H,0.040,0.242,0.042,0.280,0.040,0.296,0.045,0.188,0.045,0.206,0.043,0.267



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



