,1,2,3,4,5,6,7,8,9,10,11,12
A,0.286,0.040,0.281,0.046,0.290,0.044,0.325,0.042,0.356,0.045,0.343,0.039
B,0.043,0.225,0.041,0.232,0.046,0.249,0.042,0.305,0.040,0.331,0.042,0.316
C,0.268,0.051,0.274,0.044,0.319,0.041,0.338,0.041,0.356,0.045,0.350,0.298
D,0.042,0.282,0.041,0.246,0.229,0.302,0.044,0.290,0.043,0.326,0.040,0.322
E,0.276,0.041,0.278,0.042,0.339,0.043,0.362,0.041,0.289,0.045,0.297,0.047
F,0.041,0.265,0.043,0.266,0.041,0.324,0.045,0.353,0.043,0.318,0.040,0.224
G,0.259,0.254,0.268,0.041,0.326,0.265,0.356,0.286,0.280,0.284,0.283,0.042
H,0.043,0.246,0.040,0.271,0.039,0.324,0.042,0.343,0.043,0.310,0.041,0.233



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



