,1,2,3,4,5,6,7,8,9,10,11,12
A,0.167,0.039,0.172,0.041,0.282,0.042,0.216,0.042,0.249,0.043,0.253,0.038
B,0.038,0.245,0.040,0.219,0.043,0.284,0.046,0.298,0.043,0.329,0.044,0.317
C,0.039,0.039,0.169,0.039,0.276,0.041,0.216,0.042,0.253,0.043,0.254,0.041
D,0.037,0.219,0.038,0.205,0.040,0.273,0.039,0.296,0.040,0.327,0.042,0.305
E,0.266,0.038,0.291,0.038,0.286,0.040,0.270,0.040,0.285,0.042,0.294,0.041
F,0.037,0.242,0.039,0.273,0.039,0.284,0.041,0.262,0.040,0.222,0.042,0.269
G,0.249,0.038,0.285,0.040,0.286,0.038,0.271,0.291,0.285,0.042,0.287,0.040
H,0.037,0.247,0.038,0.273,0.040,0.313,0.037,0.263,0.041,0.205,0.038,0.242



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



