,1,2,3,4,5,6,7,8,9,10,11,12
A,0.299,0.041,0.306,0.040,0.306,0.041,0.339,0.042,0.364,0.041,0.354,0.041
B,0.043,0.229,0.041,0.224,0.044,0.300,0.046,0.305,0.043,0.326,0.041,0.323
C,0.290,0.045,0.306,0.041,0.332,0.041,0.345,0.042,0.364,0.042,0.359,0.346
D,0.041,0.245,0.040,0.214,0.241,0.320,0.041,0.310,0.040,0.332,0.040,0.324
E,0.297,0.043,0.293,0.040,0.345,0.042,0.370,0.039,0.302,0.044,0.302,0.044
F,0.039,0.280,0.042,0.288,0.048,0.335,0.043,0.363,0.041,0.321,0.041,0.287
G,0.289,0.266,0.276,0.039,0.327,0.262,0.359,0.292,0.292,0.297,0.294,0.041
H,0.046,0.262,0.039,0.281,0.042,0.322,0.041,0.359,0.300,0.221,0.040,0.234



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



