transfers	n_species	sample	well	strep_conc	replicate	OD
1	3	3_p04_A04	A4	16	2	0.948
1	3	3_p04_B04	B4	16	2	0.951
1	3	3_p04_C04	C4	16	2	0.983
1	3	3_p04_D04	D4	16	2	0.791
1	3	3_p04_E04	E4	16	2	0.887
1	3	3_p04_F04	F4	16	2	0.675
1	3	3_p04_G04	G4	16	2	0.843
1	3	3_p04_H04	H4	16	2	0.595
1	3	3_p04_A05	A5	16	2	0.949
1	3	3_p04_B05	B5	16	2	0.839
1	3	3_p04_C05	C5	16	2	0.769
1	3	3_p04_D05	D5	16	2	0.753
1	3	3_p04_E05	E5	16	2	0.458
1	3	3_p04_F05	F5	16	2	0.384
1	3	3_p04_G05	G5	16	2	0.871
1	3	3_p04_H05	H5	16	2	0.824
1	3	3_p04_A06	A6	16	2	1.000
1	3	3_p04_B06	B6	16	2	0.992
1	3	3_p04_C06	C6	16	2	0.797
1	3	3_p04_D06	D6	16	2	0.787
1	3	3_p04_E06	E6	16	2	0.326
1	3	3_p04_F06	F6	16	2	0.379
1	3	3_p04_G06	G6	16	2	0.930
1	3	3_p04_H06	H6	16	2	1.036
1	3	3_p04_A07	A7	16	2	0.993
1	3	3_p04_B07	B7	16	2	0.795
1	3	3_p04_C07	C7	16	2	0.709
1	3	3_p04_D07	D7	16	2	0.766
1	3	3_p04_E07	E7	16	2	0.759
1	3	3_p04_F07	F7	16	2	0.687
1	3	3_p04_G07	G7	16	2	0.982
1	3	3_p04_H07	H7	16	2	0.938
1	3	3_p04_A08	A8	16	2	1.040
1	3	3_p04_B08	B8	16	2	1.000
1	3	3_p04_C08	C8	16	2	0.774
1	3	3_p04_D08	D8	16	2	0.831
1	3	3_p04_E08	E8	16	2	0.699
1	3	3_p04_F08	F8	16	2	0.709
1	3	3_p04_G08	G8	16	2	0.968
1	3	3_p04_H08	H8	16	2	1.411
1	3	3_p04_A09	A9	16	2	0.325
1	3	3_p04_B09	B9	16	2	0.404
1	3	3_p04_C09	C9	16	2	0.953
1	3	3_p04_D09	D9	16	2	0.866
1	3	3_p04_E09	E9	16	2	0.694
1	3	3_p04_F09	F9	16	2	0.757
1	3	3_p04_G09	G9	16	2	1.035
1	3	3_p04_H09	H9	16	2	0.680
1	3	3_p04_A10	A10	16	2	0.306
1	3	3_p04_B10	B10	16	2	0.338
1	3	3_p04_C10	C10	16	2	0.855
1	3	3_p04_D10	D10	16	2	0.856
1	3	3_p04_E10	E10	16	2	0.988
1	3	3_p04_F10	F10	16	2	0.925
1	3	3_p04_G10	G10	16	2	0.996
1	3	3_p04_H10	H10	16	2	0.757
1	3	3_p04_A11	A11	16	2	0.422
1	3	3_p04_B11	B11	16	2	0.377
1	3	3_p04_C11	C11	16	2	1.016
1	3	3_p04_D11	D11	16	2	0.997
1	3	3_p04_E11	E11	16	2	0.975
1	3	3_p04_F11	F11	16	2	0.918
1	3	3_p04_G11	G11	16	2	0.897
1	3	3_p04_H11	H11	16	2	0.777
1	3	3_p04_A12	A12	16	2	0.322
1	3	3_p04_B12	B12	16	2	0.341
1	3	3_p04_C12	C12	16	2	1.009
1	3	3_p04_D12	D12	16	2	0.974
1	3	3_p04_E12	E12	16	2	0.865
1	3	3_p04_F12	F12	16	2	0.939
1	3	3_p04_G12	G12	16	2	0.958
1	3	3_p04_H12	H12	16	2	0.777
1	3	3_p05_A01	A1	64	1	0.843
1	3	3_p05_B01	B1	64	1	0.858
1	3	3_p05_C01	C1	64	1	0.575
1	3	3_p05_D01	D1	64	1	0.538
1	3	3_p05_E01	E1	64	1	0.965
1	3	3_p05_F01	F1	64	1	0.950
1	3	3_p05_G01	G1	64	1	0.925
1	3	3_p05_H01	H1	64	1	0.744
1	3	3_p05_A02	A2	64	1	0.992
1	3	3_p05_B02	B2	64	1	0.781
1	3	3_p05_C02	C2	64	1	0.675
1	3	3_p05_D02	D2	64	1	0.600
1	3	3_p05_E02	E2	64	1	0.899
1	3	3_p05_F02	F2	64	1	0.934
1	3	3_p05_G02	G2	64	1	0.762
1	3	3_p05_H02	H2	64	1	0.603
1	3	3_p05_A03	A3	64	1	0.889
1	3	3_p05_B03	B3	64	1	0.957
1	3	3_p05_C03	C3	64	1	0.589
1	3	3_p05_D03	D3	64	1	0.553
1	3	3_p05_E03	E3	64	1	1.013
1	3	3_p05_F03	F3	64	1	1.038
1	3	3_p05_G03	G3	64	1	0.951
1	3	3_p05_H03	H3	64	1	0.657
1	3	3_p05_A04	A4	64	1	0.791
1	3	3_p05_B04	B4	64	1	0.892
1	3	3_p05_C04	C4	64	1	0.978
1	3	3_p05_D04	D4	64	1	1.135
1	3	3_p05_E04	E4	64	1	0.827
1	3	3_p05_F04	F4	64	1	1.002
1	3	3_p05_G04	G4	64	1	0.960
1	3	3_p05_H04	H4	64	1	0.594
1	3	3_p05_A05	A5	64	1	0.908
1	3	3_p05_B05	B5	64	1	1.067
1	3	3_p05_C05	C5	64	1	0.720
1	3	3_p05_D05	D5	64	1	0.600
1	3	3_p05_E05	E5	64	1	0.335
1	3	3_p05_F05	F5	64	1	0.371
1	3	3_p05_G05	G5	64	1	0.899
1	3	3_p05_H05	H5	64	1	0.762
1	3	3_p05_A06	A6	64	1	0.829
1	3	3_p05_B06	B6	64	1	0.911
1	3	3_p05_C06	C6	64	1	0.551
1	3	3_p05_D06	D6	64	1	0.573
1	3	3_p05_E06	E6	64	1	0.326
1	3	3_p05_F06	F6	64	1	0.374
1	3	3_p05_G06	G6	64	1	0.862
1	3	3_p05_H06	H6	64	1	0.639
1	3	3_p05_A07	A7	64	1	0.870
1	3	3_p05_B07	B7	64	1	0.994
1	3	3_p05_C07	C7	64	1	0.693
1	3	3_p05_D07	D7	64	1	0.618
1	3	3_p05_E07	E7	64	1	0.633
1	3	3_p05_F07	F7	64	1	0.632
1	3	3_p05_G07	G7	64	1	0.917
1	3	3_p05_H07	H7	64	1	1.098
1	3	3_p05_A08	A8	64	1	0.806
1	3	3_p05_B08	B8	64	1	0.996
1	3	3_p05_C08	C8	64	1	0.739
1	3	3_p05_D08	D8	64	1	0.741
1	3	3_p05_E08	E8	64	1	0.666
1	3	3_p05_F08	F8	64	1	0.659
1	3	3_p05_G08	G8	64	1	0.928
1	3	3_p05_H08	H8	64	1	0.904
1	3	3_p05_A09	A9	64	1	0.296
1	3	3_p05_B09	B9	64	1	0.409
1	3	3_p05_C09	C9	64	1	0.883
1	3	3_p05_D09	D9	64	1	0.899
1	3	3_p05_E09	E9	64	1	0.680
1	3	3_p05_F09	F9	64	1	0.641
1	3	3_p05_G09	G9	64	1	1.024
1	3	3_p05_H09	H9	64	1	0.608
1	3	3_p05_A10	A10	64	1	0.322
1	3	3_p05_B10	B10	64	1	0.335
1	3	3_p05_C10	C10	64	1	0.799
1	3	3_p05_D10	D10	64	1	0.808
1	3	3_p05_E10	E10	64	1	0.798
1	3	3_p05_F10	F10	64	1	0.817
1	3	3_p05_G10	G10	64	1	1.044
1	3	3_p05_H10	H10	64	1	0.638
1	3	3_p05_A11	A11	64	1	0.309
1	3	3_p05_B11	B11	64	1	0.394
1	3	3_p05_C11	C11	64	1	0.908
1	3	3_p05_D11	D11	64	1	0.870
1	3	3_p05_E11	E11	64	1	0.971
1	3	3_p05_F11	F11	64	1	0.809
1	3	3_p05_G11	G11	64	1	0.996
1	3	3_p05_H11	H11	64	1	0.634
1	3	3_p05_A12	A12	64	1	0.305
1	3	3_p05_B12	B12	64	1	0.362
1	3	3_p05_C12	C12	64	1	0.864
1	3	3_p05_D12	D12	64	1	0.876
1	3	3_p05_E12	E12	64	1	0.877
1	3	3_p05_F12	F12	64	1	0.860
1	3	3_p05_G12	G12	64	1	0.984
1	3	3_p05_H12	H12	64	1	0.767
1	3	3_p06_A01	A1	64	2	0.949
1	3	3_p06_B01	B1	64	2	1.000
1	3	3_p06_C01	C1	64	2	0.767
1	3	3_p06_D01	D1	64	2	0.743
1	3	3_p06_E01	E1	64	2	1.002
1	3	3_p06_F01	F1	64	2	1.029
1	3	3_p06_G01	G1	64	2	0.968
1	3	3_p06_H01	H1	64	2	0.769
1	3	3_p06_A02	A2	64	2	0.945
1	3	3_p06_B02	B2	64	2	1.035
1	3	3_p06_C02	C2	64	2	0.754
1	3	3_p06_D02	D2	64	2	0.749
1	3	3_p06_E02	E2	64	2	0.998
1	3	3_p06_F02	F2	64	2	1.033
1	3	3_p06_G02	G2	64	2	0.769
1	3	3_p06_H02	H2	64	2	0.710
1	3	3_p06_A03	A3	64	2	0.886
1	3	3_p06_B03	B3	64	2	0.926
1	3	3_p06_C03	C3	64	2	0.681
1	3	3_p06_D03	D3	64	2	0.736
1	3	3_p06_E03	E3	64	2	0.694
1	3	3_p06_F03	F3	64	2	0.957
1	3	3_p06_G03	G3	64	2	1.029
1	3	3_p06_H03	H3	64	2	0.777
1	3	3_p06_A04	A4	64	2	0.983
1	3	3_p06_B04	B4	64	2	0.975
1	3	3_p06_C04	C4	64	2	1.498
1	3	3_p06_D04	D4	64	2	0.987
1	3	3_p06_E04	E4	64	2	1.016
1	3	3_p06_F04	F4	64	2	1.011
1	3	3_p06_G04	G4	64	2	1.001
1	3	3_p06_H04	H4	64	2	0.710
1	3	3_p06_A05	A5	64	2	1.023
1	3	3_p06_B05	B5	64	2	0.758
1	3	3_p06_C05	C5	64	2	0.642
1	3	3_p06_D05	D5	64	2	0.795
1	3	3_p06_E05	E5	64	2	0.335
1	3	3_p06_F05	F5	64	2	0.398
1	3	3_p06_G05	G5	64	2	1.037
1	3	3_p06_H05	H5	64	2	0.863
1	3	3_p06_A06	A6	64	2	1.020
1	3	3_p06_B06	B6	64	2	1.036
1	3	3_p06_C06	C6	64	2	0.690
1	3	3_p06_D06	D6	64	2	0.778
1	3	3_p06_E06	E6	64	2	0.316
1	3	3_p06_F06	F6	64	2	0.376
1	3	3_p06_G06	G6	64	2	0.956
1	3	3_p06_H06	H6	64	2	0.748
1	3	3_p06_A07	A7	64	2	1.041
1	3	3_p06_B07	B7	64	2	1.003
1	3	3_p06_C07	C7	64	2	0.742
1	3	3_p06_D07	D7	64	2	0.799
1	3	3_p06_E07	E7	64	2	0.770
1	3	3_p06_F07	F7	64	2	0.677
1	3	3_p06_G07	G7	64	2	0.993
1	3	3_p06_H07	H7	64	2	0.878
1	3	3_p06_A08	A8	64	2	1.002
1	3	3_p06_B08	B8	64	2	1.045
1	3	3_p06_C08	C8	64	2	0.972
1	3	3_p06_D08	D8	64	2	0.900
1	3	3_p06_E08	E8	64	2	0.786
1	3	3_p06_F08	F8	64	2	0.747
1	3	3_p06_G08	G8	64	2	0.992
1	3	3_p06_H08	H8	64	2	0.894
1	3	3_p06_A09	A9	64	2	0.311
1	3	3_p06_B09	B9	64	2	0.372
1	3	3_p06_C09	C9	64	2	0.879
1	3	3_p06_D09	D9	64	2	0.904
1	3	3_p06_E09	E9	64	2	0.766
1	3	3_p06_F09	F9	64	2	0.744
1	3	3_p06_G09	G9	64	2	0.958
1	3	3_p06_H09	H9	64	2	0.663
1	3	3_p06_A10	A10	64	2	0.316
1	3	3_p06_B10	B10	64	2	0.319
1	3	3_p06_C10	C10	64	2	0.820
1	3	3_p06_D10	D10	64	2	0.817
1	3	3_p06_E10	E10	64	2	0.792
1	3	3_p06_F10	F10	64	2	0.878
1	3	3_p06_G10	G10	64	2	0.947
1	3	3_p06_H10	H10	64	2	0.582
1	3	3_p06_A11	A11	64	2	0.321
1	3	3_p06_B11	B11	64	2	0.421
1	3	3_p06_C11	C11	64	2	0.932
1	3	3_p06_D11	D11	64	2	0.940
1	3	3_p06_E11	E11	64	2	0.928
1	3	3_p06_F11	F11	64	2	0.855
1	3	3_p06_G11	G11	64	2	0.982
1	3	3_p06_H11	H11	64	2	0.758
1	3	3_p06_A12	A12	64	2	0.308
1	3	3_p06_B12	B12	64	2	0.353
1	3	3_p06_C12	C12	64	2	0.959
1	3	3_p06_D12	D12	64	2	0.963
1	3	3_p06_E12	E12	64	2	0.941
1	3	3_p06_F12	F12	64	2	0.928
1	3	3_p06_G12	G12	64	2	1.019
1	3	3_p06_H12	H12	64	2	0.723
1	3	3_p07_A01	A1	256	1	0.916
1	3	3_p07_B01	B1	256	1	0.908
1	3	3_p07_C01	C1	256	1	0.744
1	3	3_p07_D01	D1	256	1	0.781
1	3	3_p07_E01	E1	256	1	0.909
1	3	3_p07_F01	F1	256	1	0.819
1	3	3_p07_G01	G1	256	1	0.913
1	3	3_p07_H01	H1	256	1	0.808
1	3	3_p07_A02	A2	256	1	0.932
1	3	3_p07_B02	B2	256	1	0.716
1	3	3_p07_C02	C2	256	1	0.720
1	3	3_p07_D02	D2	256	1	0.731
1	3	3_p07_E02	E2	256	1	0.873
1	3	3_p07_F02	F2	256	1	0.836
1	3	3_p07_G02	G2	256	1	0.816
1	3	3_p07_H02	H2	256	1	0.697
1	3	3_p07_A03	A3	256	1	0.804
1	3	3_p07_B03	B3	256	1	0.818
1	3	3_p07_C03	C3	256	1	0.533
1	3	3_p07_D03	D3	256	1	0.727
1	3	3_p07_E03	E3	256	1	0.775
1	3	3_p07_F03	F3	256	1	0.624
1	3	3_p07_G03	G3	256	1	0.911
1	3	3_p07_H03	H3	256	1	0.806
1	3	3_p07_A04	A4	256	1	1.126
1	3	3_p07_B04	B4	256	1	0.969
1	3	3_p07_C04	C4	256	1	1.004
1	3	3_p07_D04	D4	256	1	0.881
1	3	3_p07_E04	E4	256	1	0.976
1	3	3_p07_F04	F4	256	1	1.016
1	3	3_p07_G04	G4	256	1	0.910
1	3	3_p07_H04	H4	256	1	0.735
1	3	3_p07_A05	A5	256	1	0.972
1	3	3_p07_B05	B5	256	1	0.961
1	3	3_p07_C05	C5	256	1	0.790
1	3	3_p07_D05	D5	256	1	0.750
1	3	3_p07_E05	E5	256	1	0.309
1	3	3_p07_F05	F5	256	1	0.374
1	3	3_p07_G05	G5	256	1	0.948
1	3	3_p07_H05	H5	256	1	0.855
1	3	3_p07_A06	A6	256	1	0.935
1	3	3_p07_B06	B6	256	1	0.992
1	3	3_p07_C06	C6	256	1	0.699
1	3	3_p07_D06	D6	256	1	0.741
1	3	3_p07_E06	E6	256	1	0.339
1	3	3_p07_F06	F6	256	1	0.392
1	3	3_p07_G06	G6	256	1	0.885
1	3	3_p07_H06	H6	256	1	0.766
1	3	3_p07_A07	A7	256	1	0.899
1	3	3_p07_B07	B7	256	1	0.938
1	3	3_p07_C07	C7	256	1	0.781
1	3	3_p07_D07	D7	256	1	0.744
1	3	3_p07_E07	E7	256	1	0.778
1	3	3_p07_F07	F7	256	1	0.774
1	3	3_p07_G07	G7	256	1	0.987
1	3	3_p07_H07	H7	256	1	1.015
1	3	3_p07_A08	A8	256	1	0.991
1	3	3_p07_B08	B8	256	1	0.764
1	3	3_p07_C08	C8	256	1	0.782
1	3	3_p07_D08	D8	256	1	0.789
1	3	3_p07_E08	E8	256	1	0.803
1	3	3_p07_F08	F8	256	1	0.784
1	3	3_p07_G08	G8	256	1	1.021
1	3	3_p07_H08	H8	256	1	0.929
1	3	3_p07_A09	A9	256	1	0.301
1	3	3_p07_B09	B9	256	1	0.391
1	3	3_p07_C09	C9	256	1	0.843
1	3	3_p07_D09	D9	256	1	0.790
1	3	3_p07_E09	E9	256	1	0.718
1	3	3_p07_F09	F9	256	1	0.755
1	3	3_p07_G09	G9	256	1	0.967
1	3	3_p07_H09	H9	256	1	0.635
1	3	3_p07_A10	A10	256	1	0.311
1	3	3_p07_B10	B10	256	1	0.341
1	3	3_p07_C10	C10	256	1	0.837
1	3	3_p07_D10	D10	256	1	0.867
1	3	3_p07_E10	E10	256	1	1.021
1	3	3_p07_F10	F10	256	1	1.118
1	3	3_p07_G10	G10	256	1	0.951
1	3	3_p07_H10	H10	256	1	0.651
1	3	3_p07_A11	A11	256	1	0.265
1	3	3_p07_B11	B11	256	1	0.363
1	3	3_p07_C11	C11	256	1	0.846
1	3	3_p07_D11	D11	256	1	0.815
1	3	3_p07_E11	E11	256	1	0.729
1	3	3_p07_F11	F11	256	1	0.868
1	3	3_p07_G11	G11	256	1	1.005
1	3	3_p07_H11	H11	256	1	0.806
1	3	3_p07_A12	A12	256	1	0.288
1	3	3_p07_B12	B12	256	1	0.351
1	3	3_p07_C12	C12	256	1	0.937
1	3	3_p07_D12	D12	256	1	0.851
1	3	3_p07_E12	E12	256	1	0.853
1	3	3_p07_F12	F12	256	1	0.842
1	3	3_p07_G12	G12	256	1	0.826
1	3	3_p07_H12	H12	256	1	0.789
1	3	3_p08_A01	A1	256	2	0.907
1	3	3_p08_B01	B1	256	2	0.980
1	3	3_p08_C01	C1	256	2	0.739
1	3	3_p08_D01	D1	256	2	0.810
1	3	3_p08_E01	E1	256	2	0.985
1	3	3_p08_F01	F1	256	2	0.970
1	3	3_p08_G01	G1	256	2	0.933
1	3	3_p08_H01	H1	256	2	0.785
1	3	3_p08_A02	A2	256	2	0.923
1	3	3_p08_B02	B2	256	2	0.842
1	3	3_p08_C02	C2	256	2	0.721
1	3	3_p08_D02	D2	256	2	0.744
1	3	3_p08_E02	E2	256	2	0.981
1	3	3_p08_F02	F2	256	2	0.919
1	3	3_p08_G02	G2	256	2	0.821
1	3	3_p08_H02	H2	256	2	0.679
1	3	3_p08_A03	A3	256	2	0.799
1	3	3_p08_B03	B3	256	2	0.800
1	3	3_p08_C03	C3	256	2	0.726
1	3	3_p08_D03	D3	256	2	0.727
1	3	3_p08_E03	E3	256	2	0.880
1	3	3_p08_F03	F3	256	2	0.952
1	3	3_p08_G03	G3	256	2	0.930
1	3	3_p08_H03	H3	256	2	0.743
1	3	3_p08_A04	A4	256	2	0.933
1	3	3_p08_B04	B4	256	2	0.965
1	3	3_p08_C04	C4	256	2	1.195
