transfer	n_species	sample	well	strep_conc	replicate	OD
1	3	3_p02_C06	C6	0	2	0.635
1	3	3_p02_D06	D6	0	2	0.724
1	3	3_p02_E06	E6	0	2	0.904
1	3	3_p02_F06	F6	0	2	1.020
1	3	3_p02_G06	G6	0	2	0.893
1	3	3_p02_H06	H6	0	2	0.637
1	3	3_p02_A07	A7	0	2	0.938
1	3	3_p02_B07	B7	0	2	0.951
1	3	3_p02_C07	C7	0	2	0.664
1	3	3_p02_D07	D7	0	2	0.739
1	3	3_p02_E07	E7	0	2	0.637
1	3	3_p02_F07	F7	0	2	0.641
1	3	3_p02_G07	G7	0	2	0.903
1	3	3_p02_H07	H7	0	2	1.184
1	3	3_p02_A08	A8	0	2	1.021
1	3	3_p02_B08	B8	0	2	0.916
1	3	3_p02_C08	C8	0	2	0.632
1	3	3_p02_D08	D8	0	2	0.814
1	3	3_p02_E08	E8	0	2	0.774
1	3	3_p02_F08	F8	0	2	0.804
1	3	3_p02_G08	G8	0	2	0.871
1	3	3_p02_H08	H8	0	2	0.866
1	3	3_p02_A09	A9	0	2	0.858
1	3	3_p02_B09	B9	0	2	0.962
1	3	3_p02_C09	C9	0	2	0.893
1	3	3_p02_D09	D9	0	2	0.896
1	3	3_p02_E09	E9	0	2	0.661
1	3	3_p02_F09	F9	0	2	0.598
1	3	3_p02_G09	G9	0	2	0.919
1	3	3_p02_H09	H9	0	2	0.604
1	3	3_p02_A10	A10	0	2	0.918
1	3	3_p02_B10	B10	0	2	0.800
1	3	3_p02_C10	C10	0	2	0.751
1	3	3_p02_D10	D10	0	2	0.765
1	3	3_p02_E10	E10	0	2	1.113
1	3	3_p02_F10	F10	0	2	0.940
1	3	3_p02_G10	G10	0	2	0.952
1	3	3_p02_H10	H10	0	2	0.650
1	3	3_p02_A11	A11	0	2	0.875
1	3	3_p02_B11	B11	0	2	0.823
1	3	3_p02_C11	C11	0	2	0.922
1	3	3_p02_D11	D11	0	2	0.862
1	3	3_p02_E11	E11	0	2	0.917
1	3	3_p02_F11	F11	0	2	0.882
1	3	3_p02_G11	G11	0	2	0.925
1	3	3_p02_H11	H11	0	2	0.656
1	3	3_p02_A12	A12	0	2	0.986
1	3	3_p02_B12	B12	0	2	0.961
1	3	3_p02_C12	C12	0	2	0.894
1	3	3_p02_D12	D12	0	2	0.874
1	3	3_p02_E12	E12	0	2	0.842
1	3	3_p02_F12	F12	0	2	0.772
1	3	3_p02_G12	G12	0	2	0.890
1	3	3_p02_H12	H12	0	2	0.646
3	3	3_p01_A01	A1	0	1	0.370
3	3	3_p01_B01	B1	0	1	0.350
3	3	3_p01_C01	C1	0	1	0.347
3	3	3_p01_D01	D1	0	1	0.355
3	3	3_p01_E01	E1	0	1	0.342
3	3	3_p01_F01	F1	0	1	0.341
3	3	3_p01_G01	G1	0	1	0.377
3	3	3_p01_H01	H1	0	1	0.404
3	3	3_p01_A02	A2	0	1	0.355
3	3	3_p01_B02	B2	0	1	0.342
3	3	3_p01_C02	C2	0	1	0.357
3	3	3_p01_D02	D2	0	1	0.344
3	3	3_p01_E02	E2	0	1	0.332
3	3	3_p01_F02	F2	0	1	0.325
3	3	3_p01_G02	G2	0	1	0.333
3	3	3_p01_H02	H2	0	1	0.391
3	3	3_p01_A03	A3	0	1	0.336
3	3	3_p01_B03	B3	0	1	0.352
3	3	3_p01_C03	C3	0	1	0.288
3	3	3_p01_D03	D3	0	1	0.356
3	3	3_p01_E03	E3	0	1	0.323
3	3	3_p01_F03	F3	0	1	0.337
3	3	3_p01_G03	G3	0	1	0.412
3	3	3_p01_H03	H3	0	1	0.418
3	3	3_p01_A04	A4	0	1	0.333
3	3	3_p01_B04	B4	0	1	0.351
3	3	3_p01_C04	C4	0	1	0.321
3	3	3_p01_D04	D4	0	1	0.406
3	3	3_p01_E04	E4	0	1	0.328
3	3	3_p01_F04	F4	0	1	0.343
3	3	3_p01_G04	G4	0	1	0.329
3	3	3_p01_H04	H4	0	1	0.405
3	3	3_p01_A05	A5	0	1	0.341
3	3	3_p01_B05	B5	0	1	0.354
3	3	3_p01_C05	C5	0	1	0.300
3	3	3_p01_D05	D5	0	1	0.365
3	3	3_p01_E05	E5	0	1	0.387
3	3	3_p01_F05	F5	0	1	0.379
3	3	3_p01_G05	G5	0	1	0.332
3	3	3_p01_H05	H5	0	1	0.359
3	3	3_p01_A06	A6	0	1	0.346
3	3	3_p01_B06	B6	0	1	0.349
3	3	3_p01_C06	C6	0	1	0.333
3	3	3_p01_D06	D6	0	1	0.330
3	3	3_p01_E06	E6	0	1	0.397
3	3	3_p01_F06	F6	0	1	0.374
3	3	3_p01_G06	G6	0	1	0.339
3	3	3_p01_H06	H6	0	1	0.278
3	3	3_p01_A07	A7	0	1	0.346
3	3	3_p01_B07	B7	0	1	0.348
3	3	3_p01_C07	C7	0	1	0.293
3	3	3_p01_D07	D7	0	1	0.297
3	3	3_p01_E07	E7	0	1	0.372
3	3	3_p01_F07	F7	0	1	0.359
3	3	3_p01_G07	G7	0	1	0.333
3	3	3_p01_H07	H7	0	1	0.372
3	3	3_p01_A08	A8	0	1	0.344
3	3	3_p01_B08	B8	0	1	0.345
3	3	3_p01_C08	C8	0	1	0.247
3	3	3_p01_D08	D8	0	1	0.321
3	3	3_p01_E08	E8	0	1	0.342
3	3	3_p01_F08	F8	0	1	0.318
3	3	3_p01_G08	G8	0	1	0.332
3	3	3_p01_H08	H8	0	1	0.353
3	3	3_p01_A09	A9	0	1	0.406
3	3	3_p01_B09	B9	0	1	0.420
3	3	3_p01_C09	C9	0	1	0.357
3	3	3_p01_D09	D9	0	1	0.369
3	3	3_p01_E09	E9	0	1	0.361
3	3	3_p01_F09	F9	0	1	0.279
3	3	3_p01_G09	G9	0	1	0.330
3	3	3_p01_H09	H9	0	1	0.296
3	3	3_p01_A10	A10	0	1	0.395
3	3	3_p01_B10	B10	0	1	0.401
3	3	3_p01_C10	C10	0	1	0.341
3	3	3_p01_D10	D10	0	1	0.348
3	3	3_p01_E10	E10	0	1	0.327
3	3	3_p01_F10	F10	0	1	0.334
3	3	3_p01_G10	G10	0	1	0.331
3	3	3_p01_H10	H10	0	1	0.380
3	3	3_p01_A11	A11	0	1	0.405
3	3	3_p01_B11	B11	0	1	0.429
3	3	3_p01_C11	C11	0	1	0.356
3	3	3_p01_D11	D11	0	1	0.346
