transfers	n_species	well	strep_conc	replicate	OD
3	4	A11	64	1	0.265
5	4	A11	64	1	0.252
7	4	A11	64	1	0.259
8	4	A11	64	1	0.247
1	4	A11	64	2	0.721
3	4	A11	64	2	0.269
5	4	A11	64	2	0.263
7	4	A11	64	2	0.244
8	4	A11	64	2	0.248
1	3	A11	256	1	0.265
3	3	A11	256	1	0.240
5	3	A11	256	1	0.234
7	3	A11	256	1	0.257
8	3	A11	256	1	0.239
1	3	A11	256	2	0.302
3	3	A11	256	2	0.265
5	3	A11	256	2	0.237
7	3	A11	256	2	0.256
8	3	A11	256	2	0.234
1	4	A11	256	1	0.707
3	4	A11	256	1	0.271
5	4	A11	256	1	0.244
7	4	A11	256	1	0.254
8	4	A11	256	1	0.242
1	4	A11	256	2	0.672
3	4	A11	256	2	0.251
5	4	A11	256	2	0.247
7	4	A11	256	2	0.27
8	4	A11	256	2	0.257
1	3	A12	0	1	1.011
3	3	A12	0	1	0.376
5	3	A12	0	1	0.371
7	3	A12	0	1	0.37
8	3	A12	0	1	0.341
1	3	A12	0	2	0.986
3	3	A12	0	2	0.352
5	3	A12	0	2	0.379
7	3	A12	0	2	0.36
8	3	A12	0	2	0.384
1	4	A12	0	1	0.853
3	4	A12	0	1	0.322
5	4	A12	0	1	0.345
7	4	A12	0	1	0.296
8	4	A12	0	1	0.303
1	4	A12	0	2	0.807
3	4	A12	0	2	0.328
5	4	A12	0	2	0.321
7	4	A12	0	2	0.319
8	4	A12	0	2	0.293
1	3	A12	16	1	0.308
3	3	A12	16	1	0.310
5	3	A12	16	1	0.311
7	3	A12	16	1	0.324
8	3	A12	16	1	0.333
1	3	A12	16	2	0.322
3	3	A12	16	2	0.303
5	3	A12	16	2	0.328
7	3	A12	16	2	0.359
8	3	A12	16	2	0.307
1	4	A12	16	1	0.752
3	4	A12	16	1	0.320
5	4	A12	16	1	0.331
7	4	A12	16	1	0.32
8	4	A12	16	1	0.308
1	4	A12	16	2	0.775
3	4	A12	16	2	0.297
5	4	A12	16	2	0.325
7	4	A12	16	2	0.319
8	4	A12	16	2	0.318
1	3	A12	64	1	0.305
3	3	A12	64	1	0.265
5	3	A12	64	1	0.24
7	3	A12	64	1	0.241
8	3	A12	64	1	0.222
1	3	A12	64	2	0.308
3	3	A12	64	2	0.247
5	3	A12	64	2	0.228
7	3	A12	64	2	0.228
8	3	A12	64	2	0.224
1	4	A12	64	1	0.710
3	4	A12	64	1	0.298
5	4	A12	64	1	0.292
7	4	A12	64	1	0.315
8	4	A12	64	1	0.303
1	4	A12	64	2	0.837
3	4	A12	64	2	0.323
5	4	A12	64	2	0.315
7	4	A12	64	2	0.303
8	4	A12	64	2	0.308
1	3	A12	256	1	0.288
3	3	A12	256	1	0.243
5	3	A12	256	1	0.235
7	3	A12	256	1	0.238
8	3	A12	256	1	0.25
1	3	A12	256	2	0.332
3	3	A12	256	2	0.257
5	3	A12	256	2	0.24
7	3	A12	256	2	0.253
8	3	A12	256	2	0.228
1	4	A12	256	1	0.690
3	4	A12	256	1	0.315
5	4	A12	256	1	0.307
7	4	A12	256	1	0.318
8	4	A12	256	1	0.295
1	4	A12	256	2	0.915
3	4	A12	256	2	0.286
5	4	A12	256	2	0.304
7	4	A12	256	2	0.315
8	4	A12	256	2	0.313
1	3	A2	0	1	0.955
3	3	A2	0	1	0.355
5	3	A2	0	1	0.34
7	3	A2	0	1	0.297
8	3	A2	0	1	0.298
1	3	A2	0	2	0.871
3	3	A2	0	2	0.311
5	3	A2	0	2	0.298
7	3	A2	0	2	0.268
8	3	A2	0	2	0.275
1	4	A2	0	1	0.040
3	4	A2	0	1	0.041
5	4	A2	0	1	0.041
7	4	A2	0	1	0.041
8	4	A2	0	1	0.04
1	4	A2	0	2	0.040
3	4	A2	0	2	0.040
5	4	A2	0	2	0.039
7	4	A2	0	2	0.044
8	4	A2	0	2	0.043
1	3	A2	16	1	0.964
3	3	A2	16	1	0.290
5	3	A2	16	1	0.308
7	3	A2	16	1	0.306
8	3	A2	16	1	0.285
1	3	A2	16	2	0.918
3	3	A2	16	2	0.312
5	3	A2	16	2	0.314
7	3	A2	16	2	0.313
8	3	A2	16	2	0.279
1	4	A2	16	1	0.041
3	4	A2	16	1	0.043
5	4	A2	16	1	0.042
7	4	A2	16	1	0.044
8	4	A2	16	1	0.038
1	4	A2	16	2	0.044
3	4	A2	16	2	0.041
5	4	A2	16	2	0.041
7	4	A2	16	2	0.042
8	4	A2	16	2	0.038
1	3	A2	64	1	0.992
3	3	A2	64	1	0.312
5	3	A2	64	1	0.308
7	3	A2	64	1	0.289
8	3	A2	64	1	0.274
1	3	A2	64	2	0.945
3	3	A2	64	2	0.319
5	3	A2	64	2	0.311
7	3	A2	64	2	0.302
8	3	A2	64	2	0.28
1	4	A2	64	1	0.042
3	4	A2	64	1	0.042
5	4	A2	64	1	0.043
7	4	A2	64	1	0.039
8	4	A2	64	1	0.042
1	4	A2	64	2	0.046
3	4	A2	64	2	0.038
5	4	A2	64	2	0.04
7	4	A2	64	2	0.039
8	4	A2	64	2	0.04
1	3	A2	256	1	0.932
3	3	A2	256	1	0.290
5	3	A2	256	1	0.26
7	3	A2	256	1	0.286
8	3	A2	256	1	0.286
1	3	A2	256	2	0.923
3	3	A2	256	2	0.268
5	3	A2	256	2	0.279
7	3	A2	256	2	0.295
8	3	A2	256	2	0.267
1	4	A2	256	1	0.041
3	4	A2	256	1	0.043
5	4	A2	256	1	0.042
7	4	A2	256	1	0.036
8	4	A2	256	1	0.038
1	4	A2	256	2	0.040
3	4	A2	256	2	0.048
5	4	A2	256	2	0.049
7	4	A2	256	2	0.04
8	4	A2	256	2	0.045
1	3	A3	0	1	0.933
3	3	A3	0	1	0.336
5	3	A3	0	1	0.318
7	3	A3	0	1	0.312
8	3	A3	0	1	0.287
1	3	A3	0	2	0.887
3	3	A3	0	2	0.312
5	3	A3	0	2	0.3
7	3	A3	0	2	0.313
8	3	A3	0	2	0.322
1	4	A3	0	1	0.043
3	4	A3	0	1	0.041
5	4	A3	0	1	0.038
7	4	A3	0	1	0.039
8	4	A3	0	1	0.042
1	4	A3	0	2	0.040
