,1,2,3,4,5,6,7,8,9,10,11,12
A,0.838,0.038,0.901,0.040,0.888,0.041,0.556,0.041,0.755,0.040,0.373,0.040
B,0.039,0.758,0.040,0.594,0.040,0.932,0.041,0.660,0.041,0.749,0.043,0.602
C,0.845,0.041,0.831,0.040,0.693,0.039,0.600,0.040,0.952,0.040,0.926,0.505
D,0.038,0.693,0.039,0.772,0.517,0.861,0.040,1.031,0.041,0.872,0.042,0.928
E,0.411,0.040,0.387,0.042,0.978,0.041,0.601,0.040,0.950,0.042,0.989,0.039
F,0.042,0.357,0.041,0.384,0.041,0.677,0.041,0.587,0.041,0.576,0.038,0.592
G,0.376,0.348,0.373,0.041,0.932,0.329,0.715,0.922,0.950,0.859,0.915,0.042
H,0.038,0.358,0.039,0.378,0.041,0.834,0.040,0.577,0.824,0.584,0.040,0.586



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



