,1,2,3,4,5,6,7,8,9,10,11,12
A,0.203,0.041,0.221,0.040,0.861,0.039,0.624,0.038,0.346,0.039,0.357,0.037
B,0.042,0.768,0.038,0.588,0.053,0.860,0.032,0.676,0.038,0.626,0.040,0.476
C,0.039,0.043,0.219,0.039,0.656,0.037,0.652,0.043,0.332,0.039,0.295,0.039
D,0.042,0.711,0.039,0.714,0.037,0.858,0.039,0.735,0.039,0.690,0.038,0.728
E,0.340,0.038,0.330,0.036,0.801,0.039,0.653,0.037,0.779,0.039,0.717,0.039
F,0.038,0.331,0.039,0.343,0.038,0.891,0.041,0.643,0.038,0.507,0.041,0.628
G,0.323,0.038,0.346,0.039,0.867,0.039,0.674,0.798,0.873,0.038,0.862,0.037
H,0.045,0.346,0.038,0.355,0.038,0.757,0.039,0.594,0.040,0.656,0.038,0.653



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



