,1,2,3,4,5,6,7,8,9,10,11,12
A,0.776,0.813,0.828,0.707,0.858,0.862,0.766,0.812,0.767,0.678,0.557,0.448
B,0.788,0.722,0.772,0.798,0.837,0.783,0.805,0.803,0.818,0.699,0.798,0.738
C,0.782,0.657,0.760,0.971,0.656,0.654,0.632,0.583,0.856,0.806,0.732,0.624
D,0.671,0.618,1.540,0.917,0.648,0.630,0.616,0.626,0.805,0.786,0.767,0.599
E,0.676,0.844,0.778,0.820,0.736,0.607,0.530,0.657,0.736,0.719,0.714,0.689
F,0.806,0.786,0.747,0.719,0.954,0.493,0.629,0.605,0.505,0.622,0.645,0.567
G,0.823,0.625,0.879,0.870,0.631,0.797,0.732,0.809,0.805,0.942,0.687,0.715
H,0.929,0.815,0.734,0.736,0.853,0.796,0.675,0.701,0.591,0.594,0.611,0.693



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



