,1,2,3,4,5,6,7,8,9,10,11,12
A,0.053,0.040,0.755,0.039,0.872,0.039,0.626,0.039,0.345,0.038,0.353,0.036
B,0.040,0.782,0.037,0.607,0.044,0.905,0.035,0.671,0.038,0.820,0.038,0.593
C,0.037,0.044,0.236,0.038,0.844,0.037,0.666,0.038,0.330,0.039,0.316,0.038
D,0.039,0.702,0.038,0.722,0.536,0.643,0.038,0.706,0.039,0.705,0.039,0.763
E,0.325,0.040,0.328,0.038,0.637,0.039,0.631,0.038,0.934,0.040,0.882,0.039
F,0.038,0.321,0.039,0.352,0.040,0.891,0.040,0.625,0.038,0.699,0.038,0.677
G,0.330,0.038,0.339,0.038,0.793,0.038,0.650,0.699,0.949,0.038,0.900,0.038
H,0.036,0.345,0.038,0.345,0.037,0.802,0.039,0.578,0.039,0.627,0.038,0.662



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



