,1,2,3,4,5,6,7,8,9,10,11,12
A,0.764,0.716,0.839,0.773,0.752,0.729,0.754,0.790,0.596,0.658,0.731,0.680
B,0.874,0.594,0.946,0.966,0.872,0.682,0.862,0.818,0.821,0.803,0.864,0.820
C,0.645,0.638,0.773,0.600,0.669,0.586,0.607,0.642,0.875,0.975,0.834,0.716
D,0.496,0.591,1.226,0.788,0.654,0.643,0.663,0.646,0.790,0.811,0.743,0.594
E,0.671,0.652,0.769,0.815,0.909,0.770,0.581,0.590,0.681,0.696,0.785,0.851
F,0.561,0.687,0.630,0.763,0.858,0.526,0.719,0.654,0.661,0.566,0.784,0.521
G,0.806,0.793,0.756,0.750,0.803,0.763,0.682,0.757,0.755,0.555,0.557,0.634
H,0.965,0.805,0.964,0.805,0.735,0.973,0.803,0.940,0.603,0.630,0.620,0.568



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



