,1,2,3,4,5,6,7,8,9,10,11,12
A,0.036,0.037,0.231,0.036,0.893,0.037,0.685,0.037,0.319,0.037,0.352,0.034
B,0.039,0.773,0.036,0.529,0.041,0.768,0.032,0.679,0.042,0.619,0.036,0.658
C,0.036,0.040,0.241,0.037,0.842,0.037,0.720,0.046,0.320,0.045,0.299,0.044
D,0.036,0.723,0.038,0.720,0.044,0.808,0.051,0.669,0.048,0.654,0.038,0.882
E,0.326,0.037,0.371,0.044,1.018,0.050,0.593,0.049,0.806,0.049,0.886,0.037
F,0.036,0.309,0.039,0.374,0.050,0.814,0.049,0.686,0.049,0.502,0.044,0.675
G,0.319,0.036,0.370,0.040,0.863,0.040,0.718,0.958,0.697,0.042,0.790,0.036
H,0.036,0.358,0.037,0.371,0.036,0.795,0.037,0.668,0.038,0.700,0.037,0.716



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



