,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.037,0.169,0.040,0.256,0.040,0.197,0.041,0.240,0.043,0.229,0.037
B,0.039,0.308,0.042,0.240,0.042,0.286,0.052,0.307,0.042,0.330,0.043,0.327
C,0.039,0.046,0.178,0.040,0.261,0.041,0.217,0.043,0.253,0.041,0.246,0.040
D,0.038,0.279,0.039,0.243,0.040,0.298,0.040,0.300,0.040,0.324,0.042,0.324
E,0.256,0.039,0.281,0.038,0.254,0.039,0.202,0.038,0.261,0.040,0.289,0.039
F,0.039,0.238,0.038,0.267,0.040,0.291,0.041,0.308,0.040,0.208,0.040,0.283
G,0.252,0.041,0.281,0.041,0.281,0.213,0.222,0.268,0.271,0.041,0.270,0.041
H,0.039,0.238,0.042,0.275,0.042,0.298,0.039,0.259,0.042,0.210,0.042,0.271



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



