,1,2,3,4,5,6,7,8,9,10,11,12
A,0.258,0.038,0.188,0.045,0.289,0.044,0.233,0.047,0.329,0.043,0.327,0.046
B,0.039,0.268,0.044,0.249,0.042,0.284,0.063,0.297,0.049,0.322,0.049,0.319
C,0.290,0.040,0.270,0.041,0.284,0.043,0.326,0.045,0.335,0.048,0.334,0.242
D,0.038,0.238,0.042,0.242,0.247,0.312,0.044,0.288,0.042,0.323,0.050,0.318
E,0.280,0.040,0.286,0.040,0.279,0.042,0.265,0.042,0.275,0.043,0.283,0.042
F,0.042,0.263,0.041,0.278,0.040,0.283,0.043,0.264,0.041,0.290,0.044,0.280
G,0.286,0.042,0.279,0.045,0.324,0.041,0.264,0.256,0.276,0.043,0.275,0.045
H,0.043,0.236,0.044,0.271,0.043,0.316,0.039,0.258,0.042,0.215,0.041,0.281



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



