,1,2,3,4,5,6,7,8,9,10,11,12
A,0.162,0.040,0.284,0.041,0.267,0.042,0.211,0.041,0.252,0.043,0.239,0.039
B,0.045,0.227,0.042,0.221,0.047,0.247,0.043,0.252,0.041,0.286,0.042,0.282
C,0.039,0.050,0.176,0.042,0.268,0.040,0.214,0.041,0.288,0.044,0.238,0.042
D,0.042,0.267,0.039,0.239,0.256,0.293,0.043,0.282,0.044,0.317,0.040,0.335
E,0.279,0.045,0.276,0.041,0.267,0.045,0.256,0.041,0.249,0.045,0.275,0.045
F,0.041,0.249,0.042,0.259,0.042,0.261,0.044,0.254,0.044,0.199,0.042,0.271
G,0.246,0.041,0.245,0.040,0.259,0.041,0.249,0.261,0.265,0.043,0.256,0.040
H,0.041,0.247,0.041,0.270,0.040,0.307,0.041,0.242,0.043,0.207,0.042,0.243



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



