,1,2,3,4,5,6,7,8,9,10,11,12
A,0.302,0.297,0.283,0.278,0.259,0.296,0.273,0.274,0.331,0.283,0.321,0.275
B,0.325,0.315,0.304,0.278,0.292,0.302,0.317,0.276,0.340,0.294,0.338,0.300
C,0.319,0.320,0.294,0.301,0.337,0.337,0.311,0.306,0.338,0.297,0.328,0.291
D,0.329,0.324,0.291,0.279,0.334,0.329,0.300,0.292,0.327,0.297,0.319,0.291
E,0.335,0.299,0.271,0.268,0.337,0.290,0.321,0.331,0.269,0.320,0.339,0.279
F,0.271,0.313,0.249,0.285,0.339,0.288,0.306,0.283,0.320,0.325,0.327,0.302
G,0.316,0.311,0.335,0.323,0.348,0.319,0.341,0.321,0.340,0.314,0.338,0.304
H,0.362,0.368,0.350,0.363,0.351,0.340,0.352,0.362,0.345,0.366,0.345,0.332



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



