,1,2,3,4,5,6,7,8,9,10,11,12
A,0.318,0.041,0.297,0.049,0.288,0.047,0.350,0.043,0.357,0.042,0.355,0.043
B,0.042,0.238,0.042,0.244,0.053,0.289,0.044,0.316,0.042,0.297,0.045,0.296
C,0.328,0.046,0.313,0.039,0.330,0.042,0.332,0.051,0.363,0.044,0.342,0.354
D,0.045,0.237,0.041,0.253,0.268,0.312,0.041,0.312,0.047,0.344,0.045,0.333
E,0.302,0.042,0.276,0.044,0.340,0.042,0.360,0.041,0.291,0.045,0.288,0.043
F,0.041,0.272,0.044,0.264,0.053,0.315,0.045,0.360,0.043,0.317,0.042,0.280
G,0.278,0.255,0.267,0.040,0.330,0.255,0.358,0.279,0.279,0.275,0.270,0.042
H,0.043,0.236,0.041,0.265,0.041,0.307,0.042,0.341,0.276,0.214,0.043,0.216



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



