,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.042,0.176,0.042,0.253,0.042,0.200,0.043,0.239,0.041,0.237,0.042
B,0.041,0.248,0.041,0.250,0.044,0.283,0.051,0.295,0.044,0.323,0.054,0.316
C,0.043,0.047,0.197,0.042,0.269,0.040,0.240,0.051,0.282,0.043,0.275,0.046
D,0.040,0.249,0.041,0.251,0.048,0.295,0.040,0.263,0.041,0.325,0.051,0.292
E,0.251,0.041,0.247,0.042,0.262,0.042,0.210,0.041,0.267,0.041,0.290,0.044
F,0.041,0.252,0.041,0.275,0.041,0.297,0.042,0.306,0.040,0.216,0.042,0.285
G,0.243,0.041,0.275,0.041,0.248,0.040,0.209,0.257,0.256,0.040,0.254,0.042
H,0.041,0.254,0.040,0.276,0.039,0.290,0.038,0.211,0.041,0.206,0.041,0.278



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



