,1,2,3,4,5,6,7,8,9,10,11,12
A,0.297,0.043,0.294,0.040,0.275,0.043,0.342,0.041,0.349,0.044,0.332,0.039
B,0.044,0.263,0.040,0.233,0.048,0.257,0.046,0.301,0.042,0.320,0.044,0.318
C,0.297,0.043,0.294,0.042,0.300,0.042,0.326,0.041,0.366,0.045,0.350,0.298
D,0.041,0.250,0.039,0.242,0.277,0.288,0.043,0.284,0.043,0.316,0.043,0.320
E,0.277,0.046,0.272,0.041,0.319,0.043,0.347,0.040,0.270,0.044,0.278,0.043
F,0.040,0.259,0.039,0.252,0.042,0.309,0.043,0.339,0.042,0.310,0.041,0.261
G,0.266,0.245,0.249,0.041,0.311,0.253,0.340,0.261,0.264,0.272,0.264,0.042
H,0.042,0.240,0.040,0.260,0.039,0.307,0.042,0.332,0.043,0.305,0.041,0.257



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



