plate_name	plate_number	bioscreen_well	replicate	sp_hist	strep_conc	sp_filtrate	y0	mumax	r2
bioscreen_pairwise_filtrates_01	1	1	1	ANC_0403	NA	ANC_0403	0.08187088602522079	0.007756484959669387	0.991086610271595
bioscreen_pairwise_filtrates_01	1	10	5	ANC_1287	NA	ANC_0403	0.012563685350547839	0.2974312526244807	0.9998087620912041
bioscreen_pairwise_filtrates_01	1	100	5	ANC_1977	NA	ANC_1896	0.01696835985142564	0.1988197481072209	0.9997393164715416
bioscreen_pairwise_filtrates_01	2	101	1	ANC_0403	NA	EVO_1896	0.019842806639980757	0.1393526758059295	0.9985346566690652
bioscreen_pairwise_filtrates_01	2	102	2	ANC_0403	NA	EVO_1896	0.01900112611930384	0.14511688002186848	0.9990051286813908
bioscreen_pairwise_filtrates_01	2	103	3	ANC_0403	NA	EVO_1896	0.020163988129649174	0.13301868606949252	0.9989825734555152
bioscreen_pairwise_filtrates_01	2	104	4	ANC_0403	NA	EVO_1896	0.018556151415352603	0.13202839114839837	0.9989125861794996
bioscreen_pairwise_filtrates_01	2	105	5	ANC_0403	NA	EVO_1896	0.018176696440312303	0.13647065166872283	0.9988843078325631
bioscreen_pairwise_filtrates_01	2	106	1	ANC_1287	NA	EVO_1896	0.02748526450260139	0.19127955478598238	0.9997461420066545
bioscreen_pairwise_filtrates_01	2	107	2	ANC_1287	NA	EVO_1896	0.02690867170527448	0.19293521884826936	0.9997170903407686
bioscreen_pairwise_filtrates_01	2	108	3	ANC_1287	NA	EVO_1896	0.025689142827594217	0.19600205495147016	0.9997469527753028
bioscreen_pairwise_filtrates_01	2	109	4	ANC_1287	NA	EVO_1896	0.026162891374989207	0.19744552315661468	0.9997113168566909
bioscreen_pairwise_filtrates_01	1	11	1	ANC_1896	NA	ANC_0403	0.013144235631413169	0.19373750734579132	0.9999882621938284
bioscreen_pairwise_filtrates_01	2	110	5	ANC_1287	NA	EVO_1896	0.026102185533548507	0.19711523923116267	0.9997184862188733
bioscreen_pairwise_filtrates_01	2	111	1	ANC_1896	NA	EVO_1896	0.07918069248703893	0.014839160183064344	0.9919032368358246
bioscreen_pairwise_filtrates_01	2	112	2	ANC_1896	NA	EVO_1896	0.0790612601205675	0.013201278846082617	0.9942060414319451
bioscreen_pairwise_filtrates_01	2	113	3	ANC_1896	NA	EVO_1896	0.0790658088299508	0.013091432323465555	0.9928787554862688
bioscreen_pairwise_filtrates_01	2	114	4	ANC_1896	NA	EVO_1896	0.07878281495015464	0.013499758131460137	0.9914141527259296
bioscreen_pairwise_filtrates_01	2	115	5	ANC_1896	NA	EVO_1896	0.0797707676181152	0.012157136794143526	0.9902296007075049
bioscreen_pairwise_filtrates_01	2	116	1	ANC_1977	NA	EVO_1896	0.017024269575044815	0.19289855733114356	0.9997813617200135
bioscreen_pairwise_filtrates_01	2	117	2	ANC_1977	NA	EVO_1896	0.015828954211328582	0.19319219069301397	0.9998505023954951
bioscreen_pairwise_filtrates_01	2	118	3	ANC_1977	NA	EVO_1896	0.014869237274196472	0.19918369304878117	0.9998255666327338
bioscreen_pairwise_filtrates_01	2	119	4	ANC_1977	NA	EVO_1896	0.01590656885159752	0.19224451616887092	0.9998646088107814
bioscreen_pairwise_filtrates_01	1	12	2	ANC_1896	NA	ANC_0403	0.012625547565706588	0.1982757479785278	0.9999897027999374
bioscreen_pairwise_filtrates_01	2	120	5	ANC_1977	NA	EVO_1896	0.015270247547339261	0.1953530697778019	0.9998921110431307
bioscreen_pairwise_filtrates_01	2	121	1	ANC_0403	NA	ANC_1977	0.0787873503280305	0.011032499917628178	0.9975508734960129
bioscreen_pairwise_filtrates_01	2	122	2	ANC_0403	NA	ANC_1977	0.07663887876687889	0.013313081177447783	0.9973922132559839
bioscreen_pairwise_filtrates_01	2	123	3	ANC_0403	NA	ANC_1977	0.07763295353578455	0.011731156343853409	0.9982900791161374
bioscreen_pairwise_filtrates_01	2	124	4	ANC_0403	NA	ANC_1977	0.07723504316058692	0.011964138617901287	0.9983777852193227
bioscreen_pairwise_filtrates_01	2	125	5	ANC_0403	NA	ANC_1977	0.07589637243747584	0.012865662898022481	0.9980154143958258
bioscreen_pairwise_filtrates_01	2	126	1	ANC_1287	NA	ANC_1977	0.05860449921683378	0.03627566874743518	0.9999921638237937
bioscreen_pairwise_filtrates_01	2	127	2	ANC_1287	NA	ANC_1977	0.05928312593564663	0.03520820250678245	0.9999894710191289
