plate_name	plate_number	bioscreen_well	replicate	sp_hist	strep_conc	sp_filtrate	y0	mumax	K	alpha	lambda	r2
bioscreen_pairwise_filtrates_01	1	1	1	ANC_0403	NA	ANC_0403	0.08264305426368933	0.035589120123951205	0.08645592492249675	14.999705770122064	0.030198433509598915	0.927152649094384
bioscreen_pairwise_filtrates_01	1	10	5	ANC_1287	NA	ANC_0403	0.08282526821068231	0.39177623752077156	0.39725654254945414	2.8157562787774126	6.084485425390751	0.9941112483617865
bioscreen_pairwise_filtrates_01	1	100	5	ANC_1977	NA	ANC_1896	0.08249168722310901	0.29326397300133233	0.28478488749871766	3.124491341791317	7.675264172700103	0.9911092268098319
bioscreen_pairwise_filtrates_01	2	101	1	ANC_0403	NA	EVO_1896	0.08286518301749957	0.43231370935863955	0.15008827323175652	1.6753860463442785	10.479153996089789	0.9752940650300291
bioscreen_pairwise_filtrates_01	2	102	2	ANC_0403	NA	EVO_1896	0.08238683242707134	0.48136801325012873	0.16228382788514104	1.38006092584189	10.735358763848751	0.9744786404000734
bioscreen_pairwise_filtrates_01	2	103	3	ANC_0403	NA	EVO_1896	0.08176080339506378	0.43205329297828565	0.15168112140940046	1.2572609432141848	10.978729255738159	0.970972311231004
bioscreen_pairwise_filtrates_01	2	104	4	ANC_0403	NA	EVO_1896	0.08164626517329894	0.4085319963045665	0.14893937759001746	1.2457130674196093	11.557701150358596	0.9627824226425976
bioscreen_pairwise_filtrates_01	2	105	5	ANC_0403	NA	EVO_1896	0.08123076180959549	0.43934772596416377	0.14963815414797813	1.350257211935752	11.377254885512839	0.9668422285577876
bioscreen_pairwise_filtrates_01	2	106	1	ANC_1287	NA	EVO_1896	0.08109928506993419	0.38154667351668	0.22792419735480088	1.9367370151758851	5.80594410028894	0.9981489545521994
bioscreen_pairwise_filtrates_01	2	107	2	ANC_1287	NA	EVO_1896	0.08108984660125663	0.3810651194451724	0.2270212673308698	2.087324982383398	5.841168653893456	0.9980497311342076
bioscreen_pairwise_filtrates_01	2	108	3	ANC_1287	NA	EVO_1896	0.08056507416329499	0.3700855372219072	0.23499061106474872	2.1018429851702503	5.917653589982047	0.9976118834078819
bioscreen_pairwise_filtrates_01	2	109	4	ANC_1287	NA	EVO_1896	0.08119709054529885	0.44040373311297	0.2244440835221935	1.775383702231149	6.078313087259487	0.998603699651656
bioscreen_pairwise_filtrates_01	1	11	1	ANC_1896	NA	ANC_0403	0.08260531724733336	0.3126776842377124	0.4319840530757757	1.029347531339192	10.020025933815543	0.9999315655825257
bioscreen_pairwise_filtrates_01	2	110	5	ANC_1287	NA	EVO_1896	0.0813545781618283	0.42959378692973976	0.22583875904531597	1.8923948495183878	6.064419206860879	0.998318321773131
bioscreen_pairwise_filtrates_01	2	111	1	ANC_1896	NA	EVO_1896	0.08084004337581689	0.07010224615354153	0.08460769465543222	14.999978721021684	0.030015650498460278	0.8681423982790235
bioscreen_pairwise_filtrates_01	2	112	2	ANC_1896	NA	EVO_1896	0.08008892247235204	0.11339309269713756	0.08398773521488656	14.9999996910721	0.030003412948150048	0.9208178871318863
bioscreen_pairwise_filtrates_01	2	113	3	ANC_1896	NA	EVO_1896	0.08039888970074777	0.08653580876060635	0.08452832527029867	14.99999929102005	0.030005814903924434	0.8947942658184307
bioscreen_pairwise_filtrates_01	2	114	4	ANC_1896	NA	EVO_1896	0.08002338784046427	0.08574022709936044	0.08385681430885862	14.999977573244875	0.030014078062792132	0.9079455985957587
bioscreen_pairwise_filtrates_01	2	115	5	ANC_1896	NA	EVO_1896	0.08117841431619162	0.05786268997981835	0.08485175646517233	14.999985722095294	0.030003453101788716	0.8893445045436585
bioscreen_pairwise_filtrates_01	2	116	1	ANC_1977	NA	EVO_1896	0.08224383635603338	0.29074339348682654	0.31434701545890037	2.0512949978230504	8.119852125094676	0.9984090231165101
bioscreen_pairwise_filtrates_01	2	117	2	ANC_1977	NA	EVO_1896	0.08123478734951368	0.3250933277797233	0.2827900499737494	2.016648186601269	8.51203406751456	0.9975853164000259
bioscreen_pairwise_filtrates_01	2	118	3	ANC_1977	NA	EVO_1896	0.08155318385171086	0.32682205635861006	0.28050190152399	2.335495860425363	8.518885571448509	0.9969606252905112
bioscreen_pairwise_filtrates_01	2	119	4	ANC_1977	NA	EVO_1896	0.08162954750276069	0.3110916659904361	0.2848154858767184	2.171018522978444	8.453493004543589	0.9971267969582844
bioscreen_pairwise_filtrates_01	1	12	2	ANC_1896	NA	ANC_0403	0.08207317530895386	0.3830251514979679	0.42275002922308386	0.8099528314588638	10.600592198119557	0.9998537006552893
bioscreen_pairwise_filtrates_01	2	120	5	ANC_1977	NA	EVO_1896	0.08214899019664008	0.2458384498400467	0.30893142120612066	3.4614944517482322	8.02224064453753	0.9937832427083438
bioscreen_pairwise_filtrates_01	2	121	1	ANC_0403	NA	ANC_1977	0.08395764073897177	0.1390014310885482	0.09081894411171929	0.7419446647409244	4.261742726385816	0.9763550102593535
bioscreen_pairwise_filtrates_01	2	122	2	ANC_0403	NA	ANC_1977	0.08345217389363312	0.18309700455875527	0.09005052932991546	0.7520619650059008	5.373641704944424	0.9788566714514315
bioscreen_pairwise_filtrates_01	2	123	3	ANC_0403	NA	ANC_1977	0.08346634044513174	0.16483043904508632	0.08998523950111656	0.8233831385511929	5.1751322021915085	0.9818089827807935
bioscreen_pairwise_filtrates_01	2	124	4	ANC_0403	NA	ANC_1977	0.08313314878321407	0.15499120664628047	0.0900533288914685	0.5858279567837751	4.899543312359118	0.9803901168487372
