plate_name	plate_number	bioscreen_well	replicate	sp_hist	strep_conc	sp_filtrate	y0	mumax	K	h0	r2
bioscreen_pairwise_filtrates_01	1	1	1	ANC_0403	NA	ANC_0403	0.08263487721268671	0.03560425489989166	0.08645507354519262	3.44359313397824e-6	0.9272895788105046
bioscreen_pairwise_filtrates_01	1	10	5	ANC_1287	NA	ANC_0403	0.07811935999271374	0.6141741211659213	0.3922428095655995	4.762461042824947	0.9892943356768417
bioscreen_pairwise_filtrates_01	1	100	5	ANC_1977	NA	ANC_1896	0.07870482273963487	0.5025269700508146	0.27994738091609556	5.029487149811108	0.985124168381819
bioscreen_pairwise_filtrates_01	2	101	1	ANC_0403	NA	EVO_1896	0.08171557533658202	0.6557132944101498	0.14971744316562038	7.917072161117181	0.972798576760371
bioscreen_pairwise_filtrates_01	2	102	2	ANC_0403	NA	EVO_1896	0.08143981336591756	0.6879593047053495	0.16201997897274675	8.338753235833156	0.9733442735193387
bioscreen_pairwise_filtrates_01	2	103	3	ANC_0403	NA	EVO_1896	0.08077140357657622	0.6223056274758525	0.1513883771975759	7.7814183388788924	0.9694518454898987
bioscreen_pairwise_filtrates_01	2	104	4	ANC_0403	NA	EVO_1896	0.08055868402086329	0.5769780752177376	0.1487095368267059	7.603391743450377	0.9612050218123603
bioscreen_pairwise_filtrates_01	2	105	5	ANC_0403	NA	EVO_1896	0.08022603648891662	0.6277849739062173	0.14939048498154214	8.095385147234808	0.9652547252519806
bioscreen_pairwise_filtrates_01	2	106	1	ANC_1287	NA	EVO_1896	0.07784350926172516	0.5928060816605651	0.22653697146038543	4.472334455052977	0.9947527118427566
bioscreen_pairwise_filtrates_01	2	107	2	ANC_1287	NA	EVO_1896	0.07777623040039769	0.5947527491287217	0.22562505680911601	4.513892844417922	0.9944618315611025
bioscreen_pairwise_filtrates_01	2	108	3	ANC_1287	NA	EVO_1896	0.07709204858800098	0.5774184749525857	0.23339776844003407	4.452374228553918	0.9939271292313839
bioscreen_pairwise_filtrates_01	2	109	4	ANC_1287	NA	EVO_1896	0.07868544682896977	0.6783101078300926	0.22336249258146532	5.157769305857412	0.9962760838728667
bioscreen_pairwise_filtrates_01	1	11	1	ANC_1896	NA	ANC_0403	0.07952400938249998	0.44378196916738494	0.4269701072144323	5.352518318737567	0.9983803219320307
bioscreen_pairwise_filtrates_01	2	110	5	ANC_1287	NA	EVO_1896	0.07875220371180504	0.6711048766635294	0.22465659707020902	5.13185404682019	0.9957204082848186
bioscreen_pairwise_filtrates_01	2	111	1	ANC_1896	NA	EVO_1896	0.08082288830347	0.07022103299481573	0.08460605496796768	1.7039991651035535e-6	0.8685248446812395
bioscreen_pairwise_filtrates_01	2	112	2	ANC_1896	NA	EVO_1896	0.08006385775193615	0.11338937092042856	0.08398763061756258	3.871184856008014e-7	0.9212297827014821
bioscreen_pairwise_filtrates_01	2	113	3	ANC_1896	NA	EVO_1896	0.08037766156139727	0.08658211092593819	0.0845277965051821	2.132131907695012e-6	0.895137141872479
bioscreen_pairwise_filtrates_01	2	114	4	ANC_1896	NA	EVO_1896	0.08000369973433571	0.08579120581783084	0.08385628096712992	5.477669984266242e-7	0.9083052220824712
bioscreen_pairwise_filtrates_01	2	115	5	ANC_1896	NA	EVO_1896	0.08116510627125154	0.057922193434703374	0.0848505411432699	2.383247129644772e-6	0.8896215678799467
bioscreen_pairwise_filtrates_01	2	116	1	ANC_1977	NA	EVO_1896	0.0781946931079223	0.45184980642568395	0.3102550683995129	4.711107175074733	0.9945947203720946
bioscreen_pairwise_filtrates_01	2	117	2	ANC_1977	NA	EVO_1896	0.07816546531301956	0.523458314778131	0.27944229462490483	5.572371837625823	0.9941028914461862
bioscreen_pairwise_filtrates_01	2	118	3	ANC_1977	NA	EVO_1896	0.07845208522148124	0.5335383400209791	0.2770632745824244	5.683120709373998	0.9930735866753488
bioscreen_pairwise_filtrates_01	2	119	4	ANC_1977	NA	EVO_1896	0.07834895026579602	0.5063546375920324	0.28105237904717845	5.405284515355397	0.9930028509625421
bioscreen_pairwise_filtrates_01	1	12	2	ANC_1896	NA	ANC_0403	0.08023155367671117	0.5011148905803775	0.42014799408983894	6.037815932520166	0.9992756699360437
bioscreen_pairwise_filtrates_01	2	120	5	ANC_1977	NA	EVO_1896	0.07681807135091952	0.38946288386458566	0.3028157838462558	4.115522768286363	0.9856704772080296
bioscreen_pairwise_filtrates_01	2	121	1	ANC_0403	NA	ANC_1977	0.08336528343178182	0.1825076332080395	0.09075584377942802	1.327953904664434	0.9705628819869215
bioscreen_pairwise_filtrates_01	2	122	2	ANC_0403	NA	ANC_1977	0.08297530662054042	0.2653063162624134	0.08998513489550737	2.2000510439526373	0.9745514951482512
bioscreen_pairwise_filtrates_01	2	123	3	ANC_0403	NA	ANC_1977	0.08290873164054612	0.23338560423978744	0.0899195462214493	1.922448631318872	0.976773661204183
bioscreen_pairwise_filtrates_01	2	124	4	ANC_0403	NA	ANC_1977	0.08264807605474365	0.20636079528372872	0.08999577286403729	1.6349743840212838	0.9771395511858942
bioscreen_pairwise_filtrates_01	2	125	5	ANC_0403	NA	ANC_1977	0.08185569421230114	0.22786258764758047	0.08906806543501798	1.7654033523982893	0.9640271247135577
bioscreen_pairwise_filtrates_01	2	126	1	ANC_1287	NA	ANC_1977	0.07997009660909153	0.13771439867482999	0.157987371754295	2.3064789657999163	0.9936581072720605
bioscreen_pairwise_filtrates_01	2	127	2	ANC_1287	NA	ANC_1977	0.08031790232341096	0.1405017690162732	0.15674985687525142	2.387303894621935	0.9936907505868716
