,1,2,3,4,5,6,7,8,9,10,11,12
A,0.300,0.302,0.307,0.314,0.307,0.305,0.309,0.300,0.273,0.230,0.304,0.228
B,0.305,0.306,0.331,0.331,0.316,0.306,0.315,0.302,0.298,0.283,0.294,0.282
C,0.339,0.225,0.269,0.304,0.291,0.231,0.270,0.319,0.357,0.326,0.333,0.326
D,0.330,0.290,0.273,0.297,0.304,0.294,0.335,0.311,0.332,0.313,0.322,0.318
E,0.301,0.291,0.307,0.323,0.281,0.215,0.269,0.231,0.265,0.314,0.320,0.331
F,0.283,0.277,0.287,0.283,0.284,0.261,0.291,0.282,0.329,0.306,0.321,0.317
G,0.286,0.328,0.296,0.297,0.305,0.325,0.323,0.325,0.287,0.288,0.285,0.285
H,0.268,0.256,0.266,0.222,0.296,0.333,0.343,0.338,0.266,0.269,0.336,0.328



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



