,1,2,3,4,5,6,7,8,9,10,11,12
A,0.293,0.289,0.334,0.328,0.314,0.314,0.316,0.318,0.293,0.249,0.296,0.241
B,0.297,0.311,0.332,0.307,0.317,0.309,0.331,0.308,0.302,0.297,0.308,0.281
C,0.349,0.227,0.222,0.325,0.238,0.241,0.280,0.313,0.356,0.343,0.349,0.331
D,0.333,0.297,0.321,0.288,0.331,0.293,0.318,0.309,0.317,0.307,0.317,0.309
E,0.311,0.309,0.305,0.327,0.281,0.257,0.283,0.188,0.234,0.324,0.358,0.325
F,0.312,0.271,0.301,0.309,0.296,0.281,0.341,0.297,0.334,0.344,0.324,0.331
G,0.296,0.327,0.305,0.308,0.301,0.331,0.329,0.323,0.308,0.278,0.292,0.287
H,0.280,0.267,0.286,0.250,0.349,0.341,0.356,0.348,0.291,0.274,0.348,0.345



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



