,1,2,3,4,5,6,7,8,9,10,11,12
A,0.041,0.044,0.042,0.041,0.276,0.297,0.311,0.296,0.255,0.323,0.222,0.320
B,0.043,0.042,0.043,0.044,0.306,0.316,0.292,0.297,0.318,0.336,0.334,0.340
C,0.278,0.354,0.299,0.371,0.315,0.330,0.322,0.328,0.303,0.408,0.300,0.349
D,0.314,0.337,0.349,0.402,0.302,0.308,0.303,0.308,0.277,0.354,0.265,0.340
E,0.305,0.290,0.263,0.265,0.310,0.306,0.323,0.339,0.274,0.352,0.266,0.355
F,0.294,0.326,0.294,0.299,0.304,0.294,0.328,0.326,0.317,0.314,0.265,0.309
G,0.044,0.042,0.042,0.042,0.042,0.043,0.042,0.042,0.043,0.042,0.040,0.039
H,0.044,0.043,0.043,0.042,0.041,0.044,0.044,0.042,0.042,0.043,0.041,0.042



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



