,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.041,0.039,0.040,0.353,0.298,0.302,0.289,0.356,0.301,0.352,0.296
B,0.042,0.041,0.040,0.041,0.305,0.295,0.308,0.283,0.375,0.323,0.349,0.299
C,0.343,0.315,0.362,0.332,0.335,0.292,0.306,0.296,0.383,0.327,0.365,0.334
D,0.342,0.304,0.347,0.308,0.283,0.279,0.262,0.282,0.335,0.329,0.369,0.300
E,0.339,0.278,0.280,0.279,0.342,0.298,0.313,0.315,0.349,0.343,0.335,0.307
F,0.322,0.283,0.285,0.295,0.280,0.260,0.320,0.313,0.360,0.305,0.332,0.290
G,0.047,0.041,0.042,0.042,0.040,0.041,0.041,0.043,0.043,0.046,0.045,0.040
H,0.278,0.275,0.313,0.313,0.263,0.259,0.249,0.265,0.260,0.251,0.229,0.264



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



