,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.036,0.037,0.039,0.282,0.318,0.327,0.343,0.223,0.297,0.254,0.318
B,0.036,0.037,0.038,0.038,0.282,0.288,0.290,0.311,0.272,0.268,0.336,0.313
C,0.218,0.309,0.260,0.330,0.281,0.302,0.326,0.330,0.224,0.336,0.233,0.321
D,0.310,0.326,0.291,0.328,0.284,0.317,0.328,0.336,0.311,0.309,0.327,0.334
E,0.308,0.300,0.314,0.324,0.282,0.299,0.352,0.342,0.263,0.314,0.282,0.383
F,0.264,0.284,0.325,0.311,0.263,0.301,0.357,0.305,0.218,0.316,0.270,0.347
G,0.038,0.038,0.038,0.038,0.038,0.037,0.038,0.039,0.040,0.040,0.040,0.039
H,0.214,0.221,0.038,0.039,0.038,0.039,0.038,0.038,0.039,0.040,0.038,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



