,1,2,3,4,5,6,7,8,9,10,11,12
A,0.040,0.039,0.050,0.054,0.288,0.274,0.293,0.296,0.262,0.305,0.259,0.315
B,0.041,0.042,0.040,0.043,0.300,0.306,0.315,0.299,0.297,0.305,0.277,0.334
C,0.269,0.302,0.269,0.320,0.300,0.296,0.312,0.310,0.287,0.319,0.231,0.337
D,0.303,0.294,0.343,0.333,0.300,0.304,0.302,0.274,0.338,0.306,0.268,0.265
E,0.291,0.308,0.292,0.281,0.300,0.263,0.298,0.317,0.266,0.308,0.263,0.318
F,0.285,0.308,0.256,0.289,0.296,0.296,0.324,0.331,0.268,0.359,0.259,0.316
G,0.044,0.041,0.041,0.040,0.042,0.042,0.042,0.043,0.043,0.044,0.043,0.043
H,0.044,0.042,0.041,0.042,0.262,0.042,0.042,0.042,0.043,0.045,0.044,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



