,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.044,0.040,0.041,0.315,0.304,0.305,0.312,0.377,0.343,0.368,0.319
B,0.042,0.042,0.040,0.042,0.316,0.303,0.293,0.292,0.370,0.333,0.360,0.317
C,0.357,0.334,0.382,0.340,0.345,0.284,0.295,0.286,0.271,0.313,0.232,0.312
D,0.366,0.336,0.376,0.335,0.291,0.288,0.288,0.290,0.376,0.321,0.360,0.272
E,0.370,0.327,0.334,0.288,0.301,0.313,0.305,0.308,0.351,0.318,0.339,0.311
F,0.316,0.306,0.369,0.303,0.286,0.297,0.325,0.332,0.364,0.360,0.363,0.289
G,0.041,0.040,0.040,0.039,0.040,0.039,0.040,0.041,0.041,0.041,0.040,0.039
H,0.040,0.040,0.040,0.040,0.039,0.040,0.040,0.039,0.041,0.040,0.039,0.041



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



