,1,2,3,4,5,6,7,8,9,10,11,12
A,0.310,0.306,0.305,0.302,0.319,0.315,0.314,0.324,0.333,0.335,0.349,0.324
B,0.307,0.319,0.348,0.313,0.335,0.321,0.316,0.254,0.355,0.284,0.333,0.295
C,0.349,0.254,0.289,0.325,0.305,0.239,0.304,0.345,0.368,0.359,0.367,0.359
D,0.333,0.300,0.256,0.326,0.351,0.311,0.278,0.237,0.339,0.335,0.338,0.337
E,0.316,0.315,0.310,0.322,0.302,0.351,0.326,0.310,0.277,0.318,0.346,0.346
F,0.292,0.310,0.279,0.309,0.304,0.238,0.345,0.293,0.328,0.293,0.324,0.325
G,0.269,0.321,0.352,0.308,0.309,0.328,0.266,0.278,0.310,0.306,0.298,0.290
H,0.253,0.275,0.281,0.273,0.347,0.347,0.349,0.330,0.266,0.260,0.359,0.330



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



