,1,2,3,4,5,6,7,8,9,10,11,12
A,0.301,0.313,0.340,0.314,0.325,0.296,0.329,0.323,0.324,0.325,0.361,0.359
B,0.313,0.320,0.337,0.305,0.323,0.315,0.335,0.312,0.353,0.317,0.312,0.408
C,0.326,0.227,0.274,0.323,0.286,0.232,0.292,0.344,0.386,0.372,0.377,0.358
D,0.304,0.292,0.312,0.319,0.341,0.309,0.348,0.332,0.351,0.345,0.341,0.342
E,0.313,0.305,0.308,0.312,0.284,0.279,0.335,0.310,0.278,0.333,0.362,0.379
F,0.303,0.313,0.322,0.340,0.230,0.227,0.345,0.312,0.342,0.294,0.353,0.360
G,0.298,0.321,0.315,0.309,0.317,0.319,0.324,0.320,0.303,0.323,0.319,0.326
H,0.270,0.276,0.284,0.280,0.363,0.369,0.355,0.351,0.282,0.284,0.332,0.339



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



