,1,2,3,4,5,6,7,8,9,10,11,12
A,0.040,0.040,0.041,0.043,0.873,0.884,0.749,0.974,0.645,0.986,0.672,0.915
B,0.039,0.041,0.043,0.043,0.874,0.850,0.754,0.851,0.555,0.869,0.660,0.920
C,0.584,0.899,0.680,0.784,0.937,0.881,0.826,0.811,0.657,0.700,0.681,0.753
D,0.681,0.823,0.595,0.626,0.807,0.787,0.523,0.764,0.683,0.696,0.680,0.792
E,0.890,0.881,0.831,1.104,0.866,0.801,0.836,0.918,0.505,0.890,0.675,0.917
F,0.894,1.096,0.722,0.960,0.764,0.925,0.717,0.739,0.616,0.946,0.667,0.802
G,0.042,0.042,0.040,0.040,0.039,0.040,0.040,0.044,0.042,0.042,0.041,0.043
H,0.040,0.040,0.041,0.039,0.041,0.040,0.038,0.041,0.043,0.044,0.040,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



