,1,2,3,4,5,6,7,8,9,10,11,12
A,0.772,0.918,0.833,0.948,0.949,1.000,0.993,1.040,0.325,0.306,0.422,0.322
B,0.885,0.892,0.753,0.951,0.839,0.992,0.795,1.000,0.404,0.338,0.377,0.341
C,0.607,0.731,0.494,0.983,0.769,0.797,0.709,0.774,0.953,0.855,1.016,1.009
D,0.596,0.585,0.762,0.791,0.753,0.787,0.766,0.831,0.866,0.856,0.997,0.974
E,0.925,0.894,0.898,0.887,0.458,0.326,0.759,0.699,0.694,0.988,0.975,0.865
F,0.891,0.767,0.722,0.675,0.384,0.379,0.687,0.709,0.757,0.925,0.918,0.939
G,0.925,0.843,0.931,0.843,0.871,0.930,0.982,0.968,1.035,0.996,0.897,0.958
H,0.713,0.636,0.713,0.595,0.824,1.036,0.938,1.411,0.680,0.757,0.777,0.777



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



