,1,2,3,4,5,6,7,8,9,10,11,12
A,0.045,0.041,0.041,0.043,0.905,0.910,0.904,0.905,0.667,0.863,0.656,0.752
B,0.039,0.042,0.047,0.044,0.913,0.926,0.923,0.686,0.699,0.909,0.657,0.793
C,0.657,0.827,0.649,0.589,0.896,0.919,0.891,0.958,0.694,0.655,0.609,0.699
D,0.611,0.904,0.648,0.793,0.668,0.880,0.913,0.939,0.714,0.742,0.674,0.778
E,0.870,0.856,0.816,0.887,0.909,0.896,0.819,0.869,0.713,0.765,0.676,1.295
F,0.892,0.882,0.886,0.963,0.933,0.932,0.895,0.850,0.713,1.094,0.694,0.795
G,0.046,0.043,0.039,0.041,0.041,0.040,0.041,0.041,0.042,0.040,0.042,0.042
H,0.041,0.041,0.042,0.041,0.041,0.043,0.041,0.043,0.041,0.044,0.041,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



