,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.042,0.039,0.040,0.960,0.903,0.903,0.959,0.731,0.791,0.756,0.710
B,0.042,0.042,0.040,0.043,0.952,0.957,0.968,0.992,0.777,0.906,0.803,0.670
C,0.823,0.876,0.750,0.878,0.983,0.990,0.963,0.951,0.609,0.867,0.783,0.804
D,0.790,1.048,0.777,0.863,0.914,0.975,0.975,0.869,0.579,0.864,0.761,0.639
E,0.963,0.948,1.007,0.909,0.969,0.934,0.849,0.811,0.787,0.813,0.759,0.785
F,1.113,0.991,1.006,0.950,0.889,0.897,0.870,0.811,0.762,0.846,0.789,0.845
G,0.039,0.038,0.041,0.039,0.039,0.039,0.040,0.042,0.039,0.040,0.039,0.039
H,0.041,0.038,0.039,0.041,0.040,0.039,0.038,0.040,0.040,0.041,0.040,0.041



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



