,1,2,3,4,5,6,7,8,9,10,11,12
A,0.907,0.923,0.799,0.933,1.031,0.997,1.026,1.012,0.279,0.347,0.302,0.332
B,0.980,0.842,0.800,0.965,1.029,0.907,0.933,0.925,0.401,0.346,0.411,0.409
C,0.739,0.721,0.726,1.195,0.811,0.685,0.782,0.726,0.775,0.795,0.899,1.009
D,0.810,0.744,0.727,1.415,0.814,0.760,0.768,0.840,0.908,0.850,0.907,0.969
E,0.985,0.981,0.880,0.957,0.298,0.313,0.752,0.664,0.780,0.968,0.803,0.871
F,0.970,0.919,0.952,0.963,0.374,0.367,0.640,0.709,0.789,1.117,0.892,0.908
G,0.933,0.821,0.930,0.917,0.977,0.861,0.979,0.978,0.997,0.961,1.133,0.830
H,0.785,0.679,0.743,0.727,0.922,0.781,0.849,0.945,0.616,0.669,0.767,0.753



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



