,1,2,3,4,5,6,7,8,9,10,11,12
A,0.040,0.046,0.042,0.044,0.893,0.962,0.946,0.916,0.587,0.883,0.721,0.837
B,0.048,0.042,0.040,0.043,0.783,0.973,0.790,0.934,0.791,0.744,0.773,0.998
C,0.792,0.601,0.681,0.802,0.857,0.959,0.958,1.031,0.799,0.630,0.712,0.860
D,0.755,0.875,0.700,0.819,0.728,0.717,0.939,0.964,0.775,0.786,0.709,0.677
E,0.935,0.972,0.958,0.929,0.584,0.832,0.738,0.895,0.736,0.977,0.624,0.804
F,0.976,0.930,0.983,0.901,0.885,0.903,0.761,0.765,0.735,0.817,0.727,1.075
G,0.041,0.043,0.041,0.041,0.042,0.042,0.042,0.044,0.043,0.042,0.041,0.041
H,0.041,0.041,0.041,0.042,0.040,0.042,0.042,0.042,0.042,0.041,0.042,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



