,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.040,0.040,0.041,0.896,0.978,0.872,0.907,0.872,0.901,0.756,0.807
B,0.042,0.042,0.039,0.044,0.961,0.909,0.896,0.883,0.806,0.882,0.720,0.807
C,1.113,1.506,0.906,1.014,0.911,0.967,0.944,0.858,0.567,0.705,0.624,0.882
D,0.941,1.013,0.740,0.899,0.848,0.824,0.787,0.673,0.615,0.673,0.574,0.556
E,0.874,0.788,0.809,0.842,0.876,0.907,0.876,0.750,1.092,0.813,0.881,0.862
F,0.870,0.810,0.665,0.888,0.988,0.969,0.844,0.781,0.891,0.931,0.764,1.031
G,0.040,0.042,0.043,0.040,0.043,0.040,0.042,0.041,0.039,0.039,0.041,0.039
H,0.039,0.041,0.043,0.041,0.041,0.041,0.043,0.040,0.040,0.039,0.041,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



