,1,2,3,4,5,6,7,8,9,10,11,12
A,0.910,0.964,0.863,0.910,0.950,0.932,0.956,0.975,0.320,0.321,0.423,0.308
B,0.931,0.733,0.819,0.896,0.961,1.012,1.013,0.931,0.365,0.323,0.357,0.350
C,0.715,0.720,0.598,1.318,0.624,0.743,0.784,0.694,0.954,0.834,0.959,0.969
D,0.658,0.625,0.651,1.054,0.691,0.708,0.739,0.654,0.964,0.889,0.984,0.980
E,0.856,0.821,0.911,0.867,0.405,0.322,0.755,0.751,0.633,0.849,0.960,0.979
F,0.919,0.824,0.950,0.919,0.386,0.365,0.742,0.738,0.720,0.947,0.909,0.915
G,0.876,0.811,0.962,0.951,0.781,0.833,1.036,0.848,1.042,1.030,1.026,1.021
H,0.701,0.597,0.761,0.553,0.700,0.658,1.366,1.347,0.625,0.674,0.852,0.773



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



