,1,2,3,4,5,6,7,8,9,10,11,12
A,0.843,0.992,0.889,0.791,0.908,0.829,0.870,0.806,0.296,0.322,0.309,0.305
B,0.858,0.781,0.957,0.892,1.067,0.911,0.994,0.996,0.409,0.335,0.394,0.362
C,0.575,0.675,0.589,0.978,0.720,0.551,0.693,0.739,0.883,0.799,0.908,0.864
D,0.538,0.600,0.553,1.135,0.600,0.573,0.618,0.741,0.899,0.808,0.870,0.876
E,0.965,0.899,1.013,0.827,0.335,0.326,0.633,0.666,0.680,0.798,0.971,0.877
F,0.950,0.934,1.038,1.002,0.371,0.374,0.632,0.659,0.641,0.817,0.809,0.860
G,0.925,0.762,0.951,0.960,0.899,0.862,0.917,0.928,1.024,1.044,0.996,0.984
H,0.744,0.603,0.657,0.594,0.762,0.639,1.098,0.904,0.608,0.638,0.634,0.767



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



