sample	strainID	f_metacal
T19_s_0	HAMBI_1896	0.06944909745028381
T20_s_0	HAMBI_1287	0.46858359128605875
T20_s_0	HAMBI_0403	0.3303409636106732
T20_s_0	HAMBI_1896	0.20107544510326805
T21_s_0	HAMBI_1287	0.1129255828820891
T21_s_0	HAMBI_0403	0.25737813087802663
T21_s_0	HAMBI_1896	0.6296962862398843
T22_s_0	HAMBI_1287	0.05442750236845375
T22_s_0	HAMBI_0403	0.8809642144998739
T22_s_0	HAMBI_1896	0.06460828313167237
T23_s_0	HAMBI_1287	0.7404215929904621
T23_s_0	HAMBI_0403	0.17309909330663104
T23_s_0	HAMBI_1896	0.08647931370290679
T24_s_0	HAMBI_1287	0.13701682773685864
T24_s_0	HAMBI_0403	0.21264001295345208
T24_s_0	HAMBI_1896	0.6503431593096892
T25_1_0	HAMBI_1287	0.6617442109766506
T25_1_0	HAMBI_0403	0.17375196327746661
T25_1_0	HAMBI_1977	0.16450382574588268
T25_2_0	HAMBI_1287	0.7049305747948613
T25_2_0	HAMBI_0403	0.1742888127704969
T25_2_0	HAMBI_1977	0.12078061243464175
T25_s_0	HAMBI_1287	0.07897583463192423
T25_s_0	HAMBI_0403	0.8841422378664898
T25_s_0	HAMBI_1977	0.0368819275015859
T26_1_0	HAMBI_1287	0.5557054238827933
T26_1_0	HAMBI_0403	0.29812727001946526
T26_1_0	HAMBI_1977	0.1461673060977414
T26_2_0	HAMBI_1287	0.8053551477387125
T26_2_0	HAMBI_0403	0.0010753992115746754
T26_2_0	HAMBI_1977	0.19356945304971282
T26_s_0	HAMBI_1287	0.7376081872384039
T26_s_0	HAMBI_0403	0.21405806565039262
T26_s_0	HAMBI_1977	0.04833374711120335
T27_1_0	HAMBI_1287	0.7252866207796858
T27_1_0	HAMBI_0403	9.051905130998906e-4
T27_1_0	HAMBI_1977	0.2738081887072143
T27_2_0	HAMBI_1287	0.7177953744750383
T27_2_0	HAMBI_0403	0.14156532796123614
T27_2_0	HAMBI_1977	0.14063929756372562
T27_s_0	HAMBI_1287	0.13027505765966801
T27_s_0	HAMBI_0403	0.32162776516253233
T27_s_0	HAMBI_1977	0.5480971771777997
T28_1_0	HAMBI_1287	0.9882165116216227
T28_1_0	HAMBI_0403	0.0011212421996676188
T28_1_0	HAMBI_1977	0.010662246178709629
T28_2_0	HAMBI_1287	0.6994229784067718
