microcosm_id	well	a	a_sp	a_f	b	b_sp	b_f	c	c_sp	c_f
86	H02	EVO_1287_10	1287E	10	ANC_1977_10	1977A	10	EVO_1896_80	1896E	80
87	H03	EVO_1287_10	1287E	10	ANC_1977_80	1977A	80	ANC_1896_10	1896A	10
88	H04	EVO_1287_10	1287E	10	ANC_1977_80	1977A	80	EVO_1896_10	1896E	10
89	H05	EVO_1287_10	1287E	10	EVO_1977_10	1977E	10	ANC_1896_80	1896A	80
90	H06	EVO_1287_10	1287E	10	EVO_1977_10	1977E	10	EVO_1896_80	1896E	80
91	H07	EVO_1287_10	1287E	10	EVO_1977_80	1977E	80	ANC_1896_10	1896A	10
92	H08	EVO_1287_10	1287E	10	EVO_1977_80	1977E	80	EVO_1896_10	1896E	10
93	H09	EVO_1287_80	1287E	80	ANC_1977_10	1977A	10	ANC_1896_10	1896A	10
94	H10	EVO_1287_80	1287E	80	ANC_1977_10	1977A	10	EVO_1896_10	1896E	10
95	H11	EVO_1287_80	1287E	80	EVO_1977_10	1977E	10	ANC_1896_10	1896A	10
96	H12	EVO_1287_80	1287E	80	EVO_1977_10	1977E	10	EVO_1896_10	1896E	10
