,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.038,0.039,0.042,0.283,0.258,0.280,0.296,0.260,0.313,0.245,0.318
B,0.038,0.040,0.042,0.041,0.311,0.299,0.311,0.308,0.353,0.347,0.346,0.373
C,0.240,0.329,0.251,0.335,0.307,0.301,0.311,0.309,0.305,0.361,0.272,0.341
D,0.270,0.310,0.326,0.341,0.297,0.297,0.303,0.300,0.323,0.349,0.263,0.343
E,0.301,0.314,0.291,0.340,0.343,0.293,0.310,0.327,0.287,0.344,0.342,0.336
F,0.287,0.289,0.292,0.345,0.279,0.290,0.311,0.313,0.332,0.321,0.258,0.300
G,0.041,0.315,0.041,0.321,0.039,0.043,0.042,0.040,0.046,0.046,0.040,0.039
H,0.038,0.038,0.040,0.039,0.041,0.040,0.038,0.041,0.040,0.041,0.040,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



