,1,2,3,4,5,6,7,8,9,10,11,12
A,0.042,0.040,0.042,0.043,0.326,0.295,0.283,0.295,0.360,0.327,0.352,0.303
B,0.041,0.044,0.043,0.043,0.321,0.318,0.333,0.317,0.401,0.358,0.410,0.353
C,0.362,0.327,0.358,0.329,0.331,0.286,0.299,0.287,0.396,0.354,0.373,0.343
D,0.351,0.321,0.370,0.311,0.288,0.285,0.249,0.282,0.374,0.299,0.334,0.317
E,0.314,0.271,0.291,0.287,0.346,0.269,0.306,0.295,0.363,0.323,0.387,0.337
F,0.334,0.291,0.295,0.322,0.291,0.252,0.314,0.311,0.372,0.322,0.374,0.320
G,0.044,0.041,0.041,0.041,0.042,0.042,0.042,0.044,0.044,0.044,0.044,0.043
H,0.291,0.291,0.325,0.321,0.267,0.266,0.267,0.259,0.272,0.278,0.259,0.267



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



