,1,2,3,4,5,6,7,8,9,10,11,12
A,0.272,0.274,0.308,0.309,0.293,0.294,0.298,0.292,0.274,0.230,0.274,0.222
B,0.278,0.287,0.307,0.288,0.289,0.287,0.290,0.283,0.279,0.264,0.279,0.274
C,0.325,0.219,0.185,0.305,0.220,0.220,0.276,0.301,0.363,0.320,0.332,0.316
D,0.310,0.296,0.330,0.285,0.344,0.306,0.338,0.310,0.342,0.327,0.304,0.300
E,0.271,0.269,0.268,0.291,0.268,0.246,0.271,0.198,0.225,0.276,0.320,0.304
F,0.315,0.270,0.298,0.292,0.284,0.276,0.342,0.305,0.336,0.333,0.329,0.316
G,0.289,0.313,0.282,0.293,0.284,0.305,0.313,0.310,0.279,0.262,0.285,0.261
H,0.253,0.260,0.276,0.234,0.328,0.320,0.324,0.323,0.279,0.258,0.324,0.320



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



