,1,2,3,4,5,6,7,8,9,10,11,12
A,0.041,0.045,0.041,0.050,0.241,0.295,0.310,0.332,0.217,0.296,0.257,0.313
B,0.041,0.041,0.041,0.041,0.240,0.294,0.309,0.292,0.277,0.286,0.298,0.315
C,0.196,0.287,0.242,0.326,0.273,0.282,0.304,0.322,0.311,0.298,0.262,0.318
D,0.266,0.280,0.302,0.311,0.260,0.284,0.310,0.324,0.273,0.293,0.304,0.318
E,0.256,0.279,0.299,0.322,0.262,0.288,0.271,0.330,0.215,0.302,0.258,0.315
F,0.251,0.264,0.304,0.294,0.265,0.282,0.319,0.303,0.270,0.287,0.296,0.296
G,0.287,0.042,0.041,0.045,0.042,0.042,0.042,0.043,0.043,0.044,0.045,0.043
H,0.043,0.041,0.043,0.041,0.042,0.044,0.042,0.044,0.043,0.045,0.044,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



