,1,2,3,4,5,6,7,8,9,10,11,12
A,0.322,0.298,0.287,0.289,0.277,0.291,0.272,0.296,0.368,0.357,0.335,0.341
B,0.288,0.299,0.319,0.292,0.283,0.279,0.302,0.291,0.358,0.361,0.358,0.357
C,0.296,0.336,0.264,0.292,0.262,0.312,0.277,0.222,0.295,0.341,0.315,0.351
D,0.301,0.304,0.309,0.288,0.304,0.308,0.261,0.297,0.310,0.314,0.309,0.325
E,0.284,0.284,0.289,0.283,0.347,0.355,0.322,0.319,0.324,0.302,0.313,0.316
F,0.284,0.280,0.294,0.305,0.356,0.363,0.326,0.295,0.267,0.299,0.319,0.322
G,0.321,0.299,0.365,0.280,0.287,0.305,0.288,0.289,0.297,0.275,0.284,0.293
H,0.350,0.364,0.382,0.370,0.324,0.259,0.331,0.302,0.262,0.361,0.263,0.278



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



