,1,2,3,4,5,6,7,8,9,10,11,12
A,0.315,0.275,0.322,0.307,0.322,0.297,0.325,0.319,0.390,0.396,0.375,0.384
B,0.291,0.292,0.309,0.280,0.295,0.297,0.280,0.287,0.364,0.351,0.358,0.346
C,0.315,0.333,0.338,0.294,0.282,0.323,0.285,0.309,0.308,0.306,0.298,0.328
D,0.310,0.323,0.307,0.294,0.336,0.330,0.271,0.302,0.314,0.311,0.319,0.310
E,0.310,0.321,0.279,0.280,0.374,0.361,0.333,0.321,0.330,0.306,0.320,0.315
F,0.254,0.282,0.293,0.289,0.364,0.361,0.326,0.321,0.313,0.281,0.311,0.315
G,0.333,0.288,0.371,0.288,0.287,0.310,0.285,0.282,0.278,0.277,0.266,0.251
H,0.381,0.353,0.353,0.370,0.327,0.333,0.352,0.329,0.269,0.262,0.226,0.327



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



