,1,2,3,4,5,6,7,8,9,10,11,12
A,0.252,0.267,0.309,0.302,0.285,0.279,0.324,0.311,0.229,0.232,0.234,0.228
B,0.274,0.278,0.337,0.283,0.281,0.279,0.339,0.302,0.295,0.279,0.297,0.279
C,0.288,0.220,0.246,0.321,0.220,0.218,0.271,0.318,0.347,0.338,0.344,0.331
D,0.272,0.294,0.263,0.274,0.303,0.299,0.263,0.300,0.351,0.325,0.345,0.329
E,0.255,0.278,0.317,0.291,0.257,0.235,0.220,0.218,0.252,0.320,0.325,0.349
F,0.276,0.285,0.324,0.284,0.313,0.286,0.283,0.304,0.334,0.322,0.339,0.315
G,0.289,0.337,0.297,0.342,0.324,0.361,0.338,0.364,0.309,0.348,0.316,0.367
H,0.229,0.275,0.279,0.273,0.342,0.338,0.321,0.332,0.232,0.268,0.282,0.353



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



