,1,2,3,4,5,6,7,8,9,10,11,12
A,0.041,0.043,0.042,0.043,0.296,0.273,0.283,0.288,0.354,0.306,0.330,0.293
B,0.042,0.045,0.043,0.043,0.282,0.274,0.279,0.269,0.351,0.315,0.351,0.321
C,0.333,0.311,0.348,0.298,0.321,0.269,0.285,0.275,0.262,0.322,0.243,0.333
D,0.335,0.315,0.352,0.304,0.281,0.277,0.278,0.267,0.361,0.319,0.348,0.262
E,0.406,0.345,0.356,0.321,0.338,0.349,0.339,0.341,0.405,0.359,0.376,0.364
F,0.309,0.309,0.367,0.311,0.285,0.286,0.316,0.312,0.369,0.326,0.366,0.320
G,0.043,0.041,0.040,0.042,0.041,0.043,0.045,0.043,0.042,0.042,0.041,0.041
H,0.040,0.043,0.041,0.041,0.040,0.044,0.044,0.041,0.042,0.042,0.041,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



