,1,2,3,4,5,6,7,8,9,10,11,12
A,0.039,0.038,0.040,0.041,0.251,0.271,0.276,0.277,0.256,0.316,0.226,0.308
B,0.039,0.040,0.041,0.040,0.282,0.261,0.271,0.274,0.291,0.309,0.286,0.292
C,0.276,0.351,0.275,0.345,0.301,0.301,0.318,0.319,0.282,0.354,0.274,0.352
D,0.313,0.306,0.317,0.314,0.279,0.279,0.277,0.275,0.272,0.321,0.251,0.324
E,0.279,0.277,0.242,0.247,0.278,0.276,0.297,0.301,0.256,0.322,0.253,0.322
F,0.267,0.283,0.278,0.276,0.270,0.275,0.318,0.304,0.314,0.284,0.246,0.324
G,0.044,0.042,0.040,0.041,0.040,0.040,0.041,0.041,0.041,0.042,0.042,0.041
H,0.041,0.041,0.042,0.040,0.042,0.041,0.039,0.041,0.041,0.042,0.039,0.038



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



