,1,2,3,4,5,6,7,8,9,10,11,12
A,0.037,0.038,0.039,0.040,0.252,0.286,0.303,0.309,0.201,0.277,0.242,0.295
B,0.039,0.039,0.040,0.040,0.266,0.275,0.265,0.314,0.279,0.279,0.303,0.332
C,0.201,0.291,0.257,0.317,0.259,0.266,0.298,0.310,0.211,0.270,0.236,0.285
D,0.268,0.273,0.271,0.301,0.251,0.273,0.294,0.317,0.271,0.279,0.285,0.319
E,0.278,0.289,0.284,0.297,0.258,0.273,0.319,0.310,0.223,0.283,0.243,0.309
F,0.252,0.241,0.295,0.282,0.242,0.264,0.302,0.301,0.202,0.271,0.246,0.285
G,0.040,0.039,0.039,0.040,0.039,0.039,0.039,0.042,0.043,0.040,0.039,0.038
H,0.210,0.201,0.040,0.041,0.039,0.041,0.040,0.039,0.041,0.040,0.041,0.041



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



