,1,2,3,4,5,6,7,8,9,10,11,12
A,0.308,0.312,0.334,0.327,0.312,0.322,0.322,0.325,0.254,0.263,0.289,0.265
B,0.313,0.315,0.318,0.301,0.312,0.313,0.322,0.312,0.297,0.306,0.309,0.292
C,0.351,0.247,0.280,0.303,0.246,0.235,0.282,0.308,0.345,0.330,0.349,0.335
D,0.352,0.312,0.341,0.289,0.301,0.308,0.353,0.302,0.344,0.322,0.366,0.333
E,0.328,0.320,0.304,0.320,0.294,0.303,0.287,0.244,0.273,0.323,0.353,0.351
F,0.324,0.317,0.323,0.315,0.307,0.301,0.310,0.306,0.349,0.319,0.339,0.336
G,0.314,0.352,0.303,0.315,0.302,0.336,0.324,0.326,0.303,0.310,0.306,0.322
H,0.307,0.287,0.312,0.283,0.329,0.334,0.332,0.353,0.312,0.288,0.321,0.359



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



