,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.048,0.044,0.044,0.258,0.288,0.307,0.306,0.216,0.287,0.251,0.286
B,0.048,0.045,0.045,0.046,0.267,0.279,0.320,0.289,0.278,0.284,0.301,0.308
C,0.212,0.307,0.267,0.317,0.265,0.267,0.297,0.319,0.317,0.297,0.251,0.328
D,0.284,0.288,0.312,0.306,0.250,0.286,0.307,0.315,0.295,0.294,0.318,0.327
E,0.268,0.286,0.294,0.299,0.253,0.280,0.281,0.330,0.225,0.313,0.272,0.308
F,0.244,0.269,0.322,0.296,0.255,0.304,0.294,0.301,0.280,0.287,0.320,0.315
G,0.045,0.049,0.044,0.045,0.048,0.049,0.046,0.046,0.052,0.043,0.050,0.047
H,0.044,0.052,0.058,0.046,0.045,0.047,0.044,0.049,0.047,0.046,0.046,0.048



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



