,1,2,3,4,5,6,7,8,9,10,11,12
A,0.339,0.311,0.312,0.315,0.324,0.317,0.323,0.316,0.378,0.373,0.371,0.352
B,0.334,0.312,0.328,0.314,0.327,0.312,0.312,0.306,0.372,0.359,0.370,0.376
C,0.281,0.335,0.333,0.302,0.287,0.337,0.296,0.317,0.339,0.359,0.343,0.353
D,0.326,0.334,0.265,0.287,0.345,0.340,0.284,0.315,0.339,0.364,0.330,0.324
E,0.350,0.337,0.318,0.315,0.385,0.370,0.356,0.344,0.341,0.309,0.339,0.369
F,0.328,0.316,0.324,0.321,0.384,0.359,0.352,0.324,0.333,0.300,0.323,0.319
G,0.355,0.325,0.391,0.313,0.305,0.328,0.308,0.312,0.306,0.315,0.302,0.310
H,0.364,0.351,0.357,0.375,0.332,0.326,0.307,0.330,0.268,0.274,0.227,0.348



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



