,1,2,3,4,5,6,7,8,9,10,11,12
A,0.040,0.043,0.041,0.042,0.262,0.287,0.304,0.328,0.227,0.304,0.271,0.315
B,0.045,0.041,0.040,0.042,0.262,0.282,0.317,0.298,0.301,0.296,0.339,0.317
C,0.217,0.313,0.263,0.309,0.265,0.286,0.313,0.340,0.233,0.301,0.283,0.331
D,0.289,0.309,0.287,0.317,0.251,0.292,0.299,0.315,0.305,0.303,0.342,0.333
E,0.294,0.286,0.300,0.311,0.275,0.297,0.303,0.334,0.229,0.310,0.267,0.352
F,0.264,0.280,0.308,0.307,0.251,0.286,0.305,0.315,0.225,0.307,0.272,0.324
G,0.040,0.042,0.041,0.045,0.041,0.039,0.041,0.042,0.042,0.041,0.041,0.042
H,0.216,0.214,0.044,0.040,0.042,0.042,0.039,0.040,0.041,0.041,0.041,0.039



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



