,1,2,3,4,5,6,7,8,9,10,11,12
A,0.267,0.290,0.300,0.308,0.277,0.278,0.330,0.315,0.233,0.254,0.240,0.243
B,0.279,0.293,0.325,0.289,0.290,0.282,0.322,0.292,0.306,0.291,0.288,0.294
C,0.311,0.251,0.289,0.313,0.242,0.227,0.283,0.312,0.348,0.329,0.325,0.357
D,0.304,0.313,0.271,0.305,0.305,0.310,0.345,0.318,0.340,0.346,0.322,0.357
E,0.285,0.289,0.333,0.309,0.242,0.264,0.241,0.241,0.275,0.322,0.350,0.360
F,0.315,0.305,0.350,0.272,0.297,0.291,0.311,0.304,0.281,0.312,0.315,0.347
G,0.285,0.320,0.273,0.334,0.299,0.336,0.315,0.339,0.272,0.316,0.308,0.349
H,0.246,0.285,0.240,0.299,0.299,0.328,0.330,0.347,0.248,0.285,0.314,0.364



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



