,1,2,3,4,5,6,7,8,9,10,11,12
A,0.046,0.042,0.048,0.050,0.297,0.297,0.300,0.298,0.260,0.289,0.265,0.298
B,0.041,0.044,0.044,0.044,0.299,0.301,0.314,0.297,0.294,0.305,0.264,0.297
C,0.272,0.296,0.263,0.329,0.304,0.298,0.308,0.305,0.287,0.305,0.274,0.327
D,0.295,0.273,0.311,0.311,0.288,0.291,0.283,0.297,0.288,0.302,0.266,0.257
E,0.291,0.321,0.300,0.301,0.295,0.291,0.296,0.303,0.267,0.302,0.265,0.341
F,0.288,0.293,0.302,0.301,0.294,0.294,0.310,0.298,0.272,0.324,0.261,0.323
G,0.044,0.044,0.043,0.044,0.042,0.045,0.043,0.043,0.044,0.043,0.045,0.049
H,0.045,0.052,0.044,0.042,0.269,0.044,0.044,0.042,0.046,0.047,0.045,0.047



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



