,1,2,3,4,5,6,7,8,9,10,11,12
A,0.370,0.355,0.336,0.333,0.341,0.346,0.346,0.344,0.406,0.395,0.405,0.376
B,0.350,0.342,0.352,0.351,0.354,0.349,0.348,0.345,0.420,0.401,0.429,0.417
C,0.347,0.357,0.288,0.321,0.300,0.333,0.293,0.247,0.357,0.341,0.356,0.339
D,0.355,0.344,0.356,0.406,0.365,0.330,0.297,0.321,0.369,0.348,0.346,0.346
E,0.342,0.332,0.323,0.328,0.387,0.397,0.372,0.342,0.361,0.327,0.352,0.336
F,0.341,0.325,0.337,0.343,0.379,0.374,0.359,0.318,0.279,0.334,0.355,0.328
G,0.377,0.333,0.412,0.329,0.332,0.339,0.333,0.332,0.330,0.331,0.327,0.341
H,0.404,0.391,0.418,0.405,0.359,0.278,0.372,0.353,0.296,0.380,0.271,0.326



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



