,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.043,0.039,0.039,0.307,0.303,0.308,0.307,0.268,0.342,0.272,0.320
B,0.041,0.040,0.039,0.040,0.309,0.305,0.301,0.302,0.322,0.318,0.327,0.330
C,0.251,0.342,0.259,0.304,0.307,0.297,0.305,0.300,0.274,0.354,0.281,0.301
D,0.332,0.337,0.308,0.329,0.306,0.302,0.305,0.307,0.286,0.347,0.213,0.340
E,0.311,0.301,0.306,0.304,0.313,0.303,0.320,0.324,0.276,0.336,0.260,0.325
F,0.294,0.305,0.308,0.299,0.303,0.301,0.324,0.310,0.327,0.298,0.286,0.335
G,0.038,0.038,0.039,0.038,0.042,0.039,0.041,0.042,0.041,0.040,0.040,0.042
H,0.039,0.040,0.039,0.040,0.038,0.040,0.040,0.038,0.041,0.039,0.041,0.044



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



Sample Wavelength (nm),600
Reference Wavelength (nm),-1



